21611463
/m/05mrj0n
/m/05mrj0n
Michael Connelly
2009-10-13
{"/m/0lsxr": "Crime Fiction"}
216 1
a 38
about 4
access 1
accompanied 1
according 1
act 1
actor 1
adaptation 1
after 2
against 1
agree 2
agrees 1
ahead 1
airport 1
all 2
along 1
also 3
although 3
americans 1
an 2
and 41
angels 1
any 1
apartment 1
approached 1
are 5
area 1
armed 1
arranges 1
arrest 5
arrival 1
arrive 1
arrives 1
arriving 1
as 7
asian 1
asianamerican 1
asked 1
assistant 1
at 11
attempt 1
attraction 1
back 4
bagman 3
bail 2
be 3
because 1
been 5
before 2
behind 1
being 1
believe 1
belongs 1
black 1
blames 1
blood 1
board 1
boat 1
bodiesquick 1
body 1
bosch 14
boschbut 1
boyfriend 1
brass 1
brother 1
building 1
burden 1
business 2
but 4
by 10
call 3
called 5
calls 1
camera 1
can 2
car 5
cards 1
cargo 1
casablanca 1
case 1
casing 1
casingbut 1
casings 1
casino 1
cautioning 1
cell 2
charges 2
children 1
china 1
chinese 1
chu 7
chungking 1
clerk 1
college 2
come 1
comes 1
commits 1
concocted 1
confesses 1
confession 1
connelly 1
consoles 1
continue 1
control 1
cooperating 1
could 1
cover 1
crashes 1
damaged 1
dangers 1
dates 1
daughter 2
david 1
day 2
dead 1
deal 1
deaths 1
deceased 1
decides 1
defiance 1
demand 1
desk 2
despite 1
detective 1
dialects 1
did 2
differentials 1
diploma 1
direction 1
disguising 1
disk 1
disks 1
done 2
down 1
due 1
during 2
each 1
ejected 1
eleanor 9
elevator 1
end 1
english 1
entire 2
escape 1
escorting 1
especially 2
eugene 1
every 1
evidence 1
experimental 2
extradition 1
exwife 1
faced 1
fake 1
ferras 6
figuring 1
film 1
find 4
finds 2
fingerprint 2
fingerprints 1
flee 1
flees 1
flies 1
flight 1
flophouse 1
fluent 1
flying 1
follow 3
followed 1
for 8
forensics 1
fortune 3
found 1
framed 1
friday 2
friends 1
from 6
frontpage 1
funeral 1
gangs 1
get 4
ghetto 1
graduation 1
grieving 1
guard 1
guarded 1
gun 4
had 6
hadnt 1
halfbrother 1
haller 2
hanging 1
happened 1
harry 22
has 6
have 2
he 13
headed 1
held 3
help 1
henry 1
her 14
herself 1
highrise 1
him 5
his 9
hollywood 2
home 1
hong 9
hotel 1
house 2
how 1
however 2
husband 1
idea 1
if 2
ignacio 1
image 1
in 26
inaccuracies 1
inform 1
informs 1
into 4
investigate 1
investigation 1
is 10
it 6
joining 1
just 3
keeps 1
kidnapped 1
kidnappers 3
kidnapping 5
killed 2
killer 2
killers 1
killing 1
kills 1
kong 9
kowloon 1
la 4
lab 1
lam 3
lapd 1
latent 1
lau 6
launch 1
lawyer 2
leads 1
learns 2
leave 1
leaving 4
let 1
li 5
likely 1
lincoln 1
liquors 3
live 1
lived 1
lives 1
located 1
locates 1
looked 1
looking 1
luring 1
macau 1
maddie 14
maddy 1
made 2
make 2
makes 1
making 1
man 1
manager 1
manages 1
managing 1
mansions 1
market 1
matthew 1
may 1
mcconaughey 1
meet 1
meeting 3
men 2
message 2
mia 4
mickey 1
mistakes 1
monday 3
money 1
morning 2
mother 2
motherin 1
mr 1
multiethnic 1
mun 2
murder 3
murdered 2
namedrops 1
new 2
night 1
nightsaturday 1
nod 1
northstar 2
not 6
nothing 1
notices 1
number 4
obvious 1
of 18
office 2
older 1
on 9
one 5
only 3
opportunity 1
organ 1
originally 1
out 2
over 1
overpays 1
own 1
owner 2
parents 2
part 2
particular 1
partner 2
payoff 1
personal 1
phone 4
planned 1
plans 1
plays 1
plot 1
point 1
police 5
portrays 1
postmodern 1
presented 1
previous 1
probably 1
produces 1
promising 1
pursuing 1
quick 2
race 1
ran 1
real 1
receives 1
recklessly 1
records 2
referral 1
refers 1
refused 1
release 1
released 1
relieve 1
rental 1
rentals 1
request 1
requests 1
returned 1
reveal 1
reveals 2
riots 1
robbers 1
robert 6
room 6
roommates 1
run 1
runaway 1
same 3
saved 2
screenwriter 1
script 1
second 1
section 1
security 2
sees 1
separated 1
several 1
she 2
ship 2
shooter 1
shooting 1
shootout 1
show 1
showed 1
shows 1
signed 1
simply 1
since 1
singlehandedly 1
sister 1
so 1
son 1
speak 1
special 1
spend 1
star 1
steal 1
store 1
story 1
strict 1
subsequent 1
subsequently 1
succeed 1
suicide 1
sun 12
sunday 2
swallowed 1
takes 2
technician 1
tells 2
territories 1
test 2
that 19
the 92
their 4
them 3
then 6
there 2
they 6
this 1
thrashes 1
threat 1
threatens 1
three 1
threesome 1
time 3
to 47
told 1
took 1
tortured 1
trace 2
traced 1
track 1
trading 1
trail 1
triad 6
triadconnected 1
trunk 1
tuen 2
turn 1
turned 1
turns 1
twice 1
two 3
typed 1
under 1
unit 1
university 1
until 1
up 3
upon 3
upscale 1
us 1
used 2
victim 1
video 2
visit 1
visited 1
vouch 1
waiting 1
wall 1
was 9
watches 1
week 2
weekend 1
weekly 1
well 1
were 4
when 4
where 1
which 8
while 3
who 10
whom 3
widow 1
wife 1
will 1
with 8
without 3
work 1
would 1
year 2
yee 12
