1374421
/m/04xpjr
/m/04xpjr
Amin Maalouf

a 2
across 1
africanus 2
after 1
almost 1
and 6
arabia 1
as 1
at 1
based 1
biographical 1
book 3
by 2
cairo 1
city 1
decline 1
describe 1
description 1
divided 1
each 2
empire 1
europe 1
everywhere 1
experiences 1
fez 1
filled 1
four 1
from 1
granada 1
grew 1
his 1
historical 1
hope 1
hypotheses 1
in 2
inspired 1
into 1
is 2
islamic 1
it 1
key 1
kingdoms 1
leo 2
life 3
major 1
mediterranean 1
morocco 1
muslim 2
named 1
of 3
offers 1
on 1
organized 1
ottoman 1
period 1
played 1
renaissance 1
restore 1
role 1
rome 1
sahara 1
sections 1
southern 1
that 1
the 13
threaten 1
time 1
to 3
took 1
traditional 1
true 1
unity 1
unlikelihoods 1
vivid 1
which 1
while 1
with 2
world 1
year 2
