125588
/m/0xr69
/m/0xr69
Theodore Dreiser
1900
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
18yearold 1
a 37
abandons 1
able 1
about 3
accept 1
achieves 1
acquaintance 1
acquires 1
actress 1
admiration 1
affair 2
affection 1
after 3
again 2
aging 1
agreed 1
agreeing 1
agrees 1
also 1
amateur 1
ambitions 1
ames 1
amount 1
an 5
and 49
anonymous 1
another 2
any 1
apartment 1
apathy 1
appearance 1
aptitude 2
are 2
arrive 1
arrogant 1
art 1
as 9
asparagus 1
at 5
atmosphere 1
attempt 1
attempts 1
attends 1
attracted 1
attractive 1
augustin 1
available 1
away 1
bar 1
beauty 3
because 1
becomes 3
becoming 1
been 2
before 2
beggar 1
begin 1
begins 2
being 1
bills 1
both 2
bread 1
bright 1
bring 1
brooklyn 1
business 1
but 3
buys 1
by 7
calling 1
canada 1
cannot 1
caroline 1
carrie 20
carries 4
case 1
cash 1
casually 1
chapter 1
charity 1
charles 1
chicago 5
children 1
chorus 3
city 2
coarse 1
comments 1
commits 1
communicating 1
conditions 1
conscience 1
considerably 1
contact 1
costs 1
couple 2
cousin 1
covets 1
cuckolded 1
dalys 1
day 3
days 2
declines 1
deliberately 1
demands 2
department 1
describes 1
despairing 1
dine 1
disapproval 1
discourages 1
discovering 1
discovers 2
displays 1
dissatisfaction 1
dissatisfied 1
distant 2
distasteful 1
do 1
dollar 1
dollars 1
downtown 1
dreams 1
drinking 1
driving 2
drouet 10
drouets 2
during 1
economize 1
elks 2
embarks 1
embezzle 1
employment 1
encloses 1
encounters 1
encourages 2
escapes 1
establishes 1
even 2
exchange 1
excluded 1
expanding 1
expresses 1
expressing 1
eye 1
factory 3
fall 1
falling 1
fame 1
farewell 1
feeble 1
female 1
few 1
final 1
finally 1
financial 1
find 1
finds 2
fine 1
first 1
fitzgerald 2
flat 2
flophouse 1
foolishly 1
for 6
friendship 1
from 7
funds 1
gambling 1
gaslight 1
george 2
girl 3
goodbye 1
great 1
greater 1
grow 1
guilty 1
hanson 1
happiness 1
harbored 1
has 5
have 1
he 11
her 36
heroine 1
him 6
himself 1
his 10
home 2
homeless 1
however 2
humiliating 1
hurstwood 16
hurstwoods 3
husband 2
idea 1
if 1
ill 1
illfated 1
illness 2
imitation 1
implications 1
improved 1
in 20
increases 1
indiana 1
induce 1
infatuated 1
information 1
innocence 1
installs 1
instantly 1
intensifies 1
intent 1
interest 2
into 1
introduces 2
invitation 1
is 7
jacket 1
job 4
jobs 1
joins 1
judgment 1
julia 1
kept 1
key 1
landlord 1
large 2
larger 1
lasts 1
laura 1
lavish 1
learns 2
leave 2
life 1
line 1
live 1
living 1
local 1
lola 1
long 3
longer 1
longings 1
lounges 1
lures 1
machine 1
male 1
manager 2
manner 1
mannerisms 1
manners 2
married 1
marry 1
material 2
materialism 1
meanwhile 1
meeber 1
meeting 1
meets 2
melodrama 1
men 1
minnie 4
minority 1
mollifies 1
moment 1
money 3
montreal 1
moral 1
most 3
move 3
moved 2
moves 1
moy 2
much 1
natural 1
neighbors 1
new 4
next 2
night 5
no 1
not 2
note 2
nothing 1
obscurity 1
odd 1
of 26
offhand 1
offices 1
older 1
on 4
once 3
one 2
only 3
onto 1
opening 1
operators 1
opportunities 2
or 1
osborne 1
out 2
over 1
overwhelmed 1
part 1
particularly 1
partner 1
partnership 1
pathos 1
pay 1
performance 1
persuades 1
physical 1
place 1
play 1
pneumonia 1
poor 1
possibilities 1
poverty 1
powerful 1
presentation 1
press 1
pretense 1
pretext 1
private 1
production 1
prompts 1
property 1
prove 1
provide 1
provincial 1
quest 1
rapidly 1
rather 1
realizes 2
rebuffs 1
recreational 1
reduced 1
rejection 1
relationship 1
rent 2
respectable 1
return 3
returning 1
rise 1
robert 1
role 1
roles 1
round 1
running 2
rural 1
safe 1
salesman 1
saloon 1
saloons 1
satisfactory 1
satisfy 1
savings 2
scab 1
scholar 1
secretly 1
securing 1
sells 1
senses 1
serves 1
she 12
sheds 1
shocked 1
shoe 1
shoes 1
shopping 1
showy 1
simple 1
sirloin 1
sister 6
slips 1
small 1
socialclimbing 1
somber 1
some 1
soon 2
sophisticated 1
speaking 1
squalid 1
standard 1
standing 1
stardom 1
start 1
steady 1
stolen 1
store 1
street 1
streetcar 2
strike 1
struggles 1
stumbles 1
stunning 1
suave 1
succumbs 1
sudden 1
suicide 1
sum 1
sven 2
swell 1
take 3
taken 1
takes 2
taking 2
temptation 1
ten 1
terminate 1
than 1
that 11
the 38
theatre 3
theatres 1
theatrical 2
their 2
there 1
they 4
through 1
time 1
to 41
toil 1
toll 1
too 1
toward 1
train 3
traveling 1
turns 1
twenty 1
two 2
ultimately 1
uncovered 1
under 2
unhappy 1
unknown 1
unlocked 1
unspoiled 1
upon 3
urge 1
urges 1
useful 1
venture 1
vista 1
wardrobe 1
wayup 1
well 2
wheeler 1
when 1
where 3
which 3
who 3
wife 2
wifes 1
will 1
wisconsin 1
with 13
woman 2
women 1
work 1
workers 1
worthy 1
writes 2
years 1
york 3
yorks 1
young 1
youth 1
