7036224
/m/0h1d5d
/m/0h1d5d
Dean Koontz
1996
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction"}
2 1
a 18
abducted 1
abilities 1
able 1
actually 1
after 3
again 1
ago 1
alien 2
all 1
along 3
also 2
american 1
an 4
and 13
another 1
anyway 2
apartment 1
appears 2
are 3
argues 1
arrive 1
as 1
at 3
back 2
be 5
because 2
begin 1
believes 1
blond 1
blonde 1
boat 1
bring 1
brings 2
brother 1
bursts 1
but 4
by 1
calls 1
car 1
cars 1
cheeseburgers 1
child 1
claim 1
completely 1
computer 1
conjured 1
continues 1
conversation 1
corvette 2
creature 2
cryptically 1
dawn 2
del 10
destiny 1
dinner 1
dislikes 1
dispels 1
does 2
dog 2
doll 5
during 1
eats 1
eerie 1
embark 1
escape 1
ever 1
evil 2
exactly 1
extraterrestrial 1
fate 1
father 1
few 1
find 1
finds 1
fit 1
flee 1
for 2
forgot 1
friend 1
from 1
front 1
get 1
getting 1
gi 2
go 3
growing 2
guide 1
had 1
happen 1
harrowing 1
has 3
he 12
her 9
him 5
his 8
home 3
hotwired 1
if 1
ignition 1
implanted 1
in 10
incredibly 1
influence 1
intent 1
into 1
is 8
it 5
journey 2
key 1
killing 1
knew 1
know 1
knows 2
large 1
larger 1
later 1
learn 1
learns 2
left 1
listen 1
live 1
lonely 1
long 1
married 1
meet 1
meeting 1
meets 1
message 1
minute 1
minutes 1
mixed 1
monster 1
mother 9
new 1
next 1
normal 1
not 2
note 2
now 1
odd 1
of 6
offer 1
often 1
on 4
once 1
one 4
open 1
opens 1
over 1
paintings 2
past 2
point 1
quest 1
quickly 1
quite 1
quits 1
race 1
radio 2
rag 1
rain 1
rebellion 1
refusing 1
remotely 1
remove 1
reveal 1
rich 1
ritual 1
saying 2
scare 1
screen 1
see 1
seems 3
sees 1
sense 1
sent 1
she 10
shoot 1
shows 2
side 1
smart 1
something 2
somewhat 1
soon 1
speak 1
states 1
static 1
steps 1
stole 1
stolen 1
stop 1
stories 1
story 2
study 1
stuff 1
supposed 1
taking 1
tells 1
that 4
the 18
their 5
then 3
there 1
these 1
they 8
theyre 1
threatens 1
time 2
to 21
tommy 13
too 1
town 1
translate 1
trashed 2
trips 1
true 1
try 1
two 3
uncanny 1
unnerves 1
until 1
utterly 1
vegas 1
very 1
vietnamese 1
viewed 1
visit 1
voices 1
waitress 2
wants 1
was 3
we 1
were 1
what 1
when 5
where 2
which 3
who 2
will 3
with 6
woman 1
wont 1
working 1
written 1
years 1
