2588025
/m/07p_w9
/m/07p_w9
Gustav Hasford
1979
{"/m/012jgz": "Autobiographical novel", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/098tmk": "War novel"}
168 1
a 14
abuse 1
accepts 1
across 1
act 1
actually 1
after 2
again 1
an 5
and 21
animal 1
another 2
as 6
assistant 1
at 1
atrocities 1
attacked 1
away 1
babbling 1
back 2
bai 1
base 1
battle 3
bayonet 2
bb 1
be 1
before 1
befriends 1
begins 2
being 1
blast 1
body 2
book 2
boot 1
both 1
breaks 1
brutal 1
button 1
by 2
camp 1
can 1
character 1
chronicles 1
commander 2
company 1
completely 1
complex 2
concussion 1
confirmed 1
constant 1
corporal 1
corps 1
correspondent 1
count 2
cover 1
cowboy 11
crazy 1
crushes 1
da 1
dashes 1
davis 1
days 1
decides 1
different 1
dispatched 1
divided 1
down 1
dream 1
drill 1
during 1
duty 1
each 1
earns 1
encounter 1
ends 1
enemy 1
entire 1
eventually 1
everyone 1
fatally 1
final 1
first 1
for 2
friendly 1
from 1
front 1
gerheim 3
goes 2
gomer 1
graduation 1
great 1
grenade 1
grunts 1
gun 2
gunner 1
gunnery 1
hand 1
has 1
he 6
head 2
here 3
him 1
himself 3
his 8
honors 1
however 1
hu 1
improvement 1
in 13
ineptitude 1
inner 1
insane 1
instructor 1
into 3
is 9
james 1
joker 12
jungle 1
khe 1
kill 2
killed 2
killers 1
kills 3
knocked 1
later 1
latter 1
leader 3
leads 1
learns 1
leonard 1
life 2
lusthog 2
m60 1
machine 1
madness 1
man 5
marine 2
marines 1
meet 1
men 4
mind 1
mission 1
more 3
mother 1
multiple 1
name 1
nang 1
nicknamed 1
nonsense 1
now 1
nva 1
of 13
offensive 1
on 3
oncoming 1
only 2
out 2
outside 1
over 1
panics 1
path 1
peace 1
photographer 1
phu 1
pistol 1
place 1
platoon 3
position 1
pratt 1
previous 1
privates 1
process 1
promoting 1
promotion 1
prose 1
psychedelic 1
pull 1
punishment 1
pvt 1
pyle 1
quick 1
radio 1
rafter 5
rather 1
real 1
realizing 1
reassigned 1
rebuilds 1
recovery 1
refuses 1
repeatedly 1
rest 2
retreat 2
rifleman 1
rpg 1
runs 2
sacrifice 1
sanh 1
savage 1
save 1
second 1
section 2
sections 1
sequence 1
sergeant 2
shoots 1
shot 2
shows 2
simple 1
slightly 1
sniper 3
some 1
spent 1
spirit 2
spirits 1
squad 10
style 3
styles 1
t 1
takes 1
tank 1
tet 1
than 3
that 2
the 39
their 1
them 1
then 2
they 1
this 2
though 1
thoughts 1
threatens 1
three 2
through 2
time 1
times 1
to 13
travel 1
trying 1
two 3
unauthorized 1
unbalanced 1
uniform 1
unwillingly 1
up 1
very 1
victim 1
war 1
wartime 1
was 1
weak 1
wearing 1
went 1
where 1
which 1
while 2
who 2
whole 1
whose 1
wins 1
with 8
wounded 4
wounds 1
wrath 1
writing 1
written 3
