5039607
/m/0d00gs
/m/0d00gs
Rob Swigart
1987-02
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
6 1
a 9
able 1
above 1
action 1
adoptive 1
against 1
american 2
americanborn 1
an 1
and 5
anthrax 1
appears 1
apple 1
are 3
as 4
assumption 1
at 2
attack 1
away 1
be 2
before 1
begin 1
believes 1
big 1
biological 1
biopreparat 1
black 1
blatantly 1
both 1
breakthrough 1
builds 1
but 1
by 2
cab 1
capacity 1
carpets 1
cases 1
chromosome 1
city 2
colleagues 1
complacent 1
connected 1
convinced 1
cronies 1
davydov 1
de 1
dealer 1
death 1
deaths 1
denied 1
dies 1
disgruntled 1
doctors 1
dr 2
dream 1
driver 1
efficacy 1
ending 1
eroded 1
even 1
examiner 1
excessive 1
executes 1
exotic 1
expertise 1
failure 1
first 2
for 1
force 1
forensic 1
former 1
from 3
greek 1
happy 1
has 1
havoc 1
he 3
heels 1
him 1
his 4
if 1
immigrant 1
in 10
increasingly 1
influenza 1
initially 1
investigate 1
is 3
jack 2
jews 1
keep 1
knowledge 1
lash 1
last 1
laurie 2
lives 1
manhattan 1
manhattanites 1
medical 1
migr 1
militant 1
million 1
montgomery 1
nation 1
neverending 1
new 1
obese 1
obvious 1
of 11
office 1
on 3
only 1
out 2
overwhelming 1
pair 2
pathologists 1
persuades 1
pice 1
planned 1
poised 1
police 1
possesses 1
pressured 1
prisoner 1
program 1
puzzle 1
react 1
reader 1
respiratory 1
retribution 1
rsistance 1
russian 1
same 1
seemingly 1
seen 1
series 1
skeptical 1
snuffing 1
solving 1
some 1
somewhat 1
soviet 1
stapleton 1
still 1
succeeds 1
succumbing 1
sudden 1
superiors 1
suspicious 1
sverdlovsk 1
technician 1
tension 1
tests 1
that 1
the 21
their 1
they 1
time 2
to 8
turns 1
twists 1
two 1
unexpected 1
unrelated 1
unusual 1
use 1
usual 1
wealthy 1
weapons 1
well 1
what 1
when 1
wife 1
will 1
witness 1
woman 1
wreak 1
york 1
young 1
yuri 3
