13832428
/m/03cknd_
/m/03cknd_
Douglas Preston
2008-01-08
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 7
accelerator 1
across 1
admits 1
agent 1
an 2
and 9
anyone 1
anything 1
apparently 1
are 1
arizona 2
army 1
as 1
at 1
based 1
be 2
becomes 1
been 1
between 1
beyond 1
built 1
burn 1
but 1
by 2
capture 1
charismatic 1
cia 1
communications 2
comparisons 1
constructed 1
conventional 1
covering 1
create 1
deeper 1
demonstrates 1
desert 1
destroy 1
direction 1
discovers 1
discovery 2
down 1
effort 1
email 1
end 2
entire 1
ever 1
existence 1
expensive 1
experience 1
facility 1
far 1
find 1
for 1
ford 1
found 1
from 1
fundamentalist 1
go 1
god 2
going 1
grander 1
gregory 1
gunning 1
has 1
have 1
hazelius 5
he 2
himself 1
however 1
hubbard 1
in 8
interprets 1
into 1
is 2
isabella 1
it 5
its 1
killing 1
known 1
laureate 1
local 1
machine 2
made 2
mesa 1
method 1
most 1
new 1
nobel 1
north 1
not 1
of 8
on 2
one 1
only 1
out 1
part 1
particle 1
particularly 1
pastor 1
people 1
performing 1
powerful 1
really 1
recruits 1
red 1
regards 1
religion 1
religions 1
remote 1
reveal 1
revealed 1
role 1
science 2
scientific 1
scientists 4
scientology 1
search 1
seem 1
sign 1
simulated 1
simulation 1
specs 1
stake 1
states 1
storm 1
tapped 1
team 1
than 1
that 2
the 19
their 1
them 1
they 2
thousands 1
times 1
to 8
trouble 1
truth 1
two 1
under 1
undercover 1
united 1
up 1
viral 1
way 2
whats 1
when 1
with 1
wyman 1
