13560432
/m/03c9d9z
/m/03c9d9z
Joe Keenan
2006
{"/m/05hgj": "Novel"}
10 1
a 23
able 1
about 2
academy 1
acted 1
actor 2
actress 1
actually 1
again 1
agent 1
aging 1
agrees 2
alarms 1
all 1
along 2
also 2
an 2
and 21
any 2
appointment 1
are 1
as 2
assisting 1
at 2
attempt 1
attorney 1
aunt 1
awards 1
bartender 1
be 3
been 1
begins 1
bestseller 1
biggest 1
bind 1
blackmail 1
book 6
brother 1
but 9
cachet 1
car 1
career 2
casablanca 2
caught 2
cavanaugh 1
chance 4
child 1
claire 7
clients 1
closeted 1
complicated 1
confirms 1
convinced 1
convinces 3
could 1
cute 1
deal 3
deception 1
diana 9
district 1
do 2
donato 3
downward 1
drunken 1
else 1
enough 1
entire 1
estranged 1
events 1
ever 1
executives 1
expose 2
false 1
fantasies 1
far 1
few 1
film 3
finch 1
find 2
finds 1
fire 1
first 1
for 3
forget 1
former 1
frauds 1
free 1
friends 2
from 1
gay 2
get 2
gilbert 10
go 1
goes 1
happened 1
happy 1
has 7
have 2
having 1
he 4
heard 2
help 3
helps 1
her 11
him 4
hire 1
his 3
hollywood 4
home 1
homophobic 1
homosexual 1
host 1
how 2
hustlers 1
ie 1
if 1
impersonating 1
in 4
indeed 1
intends 1
interested 1
into 1
is 8
isnt 1
it 3
job 1
jumpstart 1
keep 1
lacking 1
leads 1
lifetime 1
lifted 1
lily 10
makes 1
malenfant 4
man 1
many 1
may 1
memoirs 1
might 2
moira 6
money 1
monty 5
morethis 1
mostly 1
mother 1
move 1
movie 2
much 1
must 1
new 4
night 1
not 3
nothing 2
now 1
numerous 1
of 7
offered 1
offers 3
officer 1
older 1
on 5
once 1
one 1
only 1
opened 1
openly 1
or 1
oscar 1
out 2
particularly 1
philip 15
plagiarized 1
plot 1
points 1
police 1
producer 2
producers 1
promote 1
prove 1
publicaccess 1
put 1
quickly 2
quite 1
recently 1
refuses 1
remarried 1
rendezvous 1
rewrite 2
ritzy 1
ruined 1
ruining 1
sabotage 1
said 1
say 1
schemer 1
screen 1
screenplay 2
script 3
searching 1
secret 2
seems 1
selling 1
selwyn 1
sex 1
she 2
should 1
show 1
shows 1
shrewdly 1
simmons 1
since 2
sister 1
sleazy 1
sold 1
son 1
soon 2
spa 3
spies 1
spiral 1
spy 1
stars 1
stepfather 1
stephen 8
studio 1
stunt 1
success 1
successful 1
suddenly 1
suspect 1
suspicious 1
television 1
tellall 1
that 9
the 17
theft 1
their 2
them 1
they 3
threatens 2
three 1
thrills 1
time 2
title 1
to 26
together 1
told 1
too 2
trio 2
turn 1
uncover 1
up 2
videotape 1
was 2
weekend 1
were 1
what 3
which 2
while 2
who 2
will 3
with 7
worried 1
wrangle 1
write 2
writing 1
