9090978
/m/027xblf
/m/027xblf
Katherine Roberts
2004-09-17
36 1
a 5
able 1
about 2
admits 1
adopt 1
ago 1
ahriman 2
all 1
although 1
an 1
and 5
anyone 1
are 3
arise 2
army 1
as 1
at 3
back 2
be 2
becomes 1
being 1
boys 1
bring 2
brother 3
by 2
calls 1
cannot 1
change 1
competing 1
curse 4
dead 1
defeated 1
did 1
discovers 1
disqualified 1
down 1
dreams 2
each 1
embrace 1
events 1
everyone 1
extremely 1
eyes 1
family 1
fate 1
favourites 1
fears 1
find 1
form 1
four 1
friends 1
from 2
full 1
games 4
go 1
goddess 1
halfsnake 1
has 3
he 4
herself 3
him 2
himself 1
his 14
how 1
however 3
human 1
in 4
incarnation 1
including 1
injured 1
into 2
is 6
it 1
just 1
like 1
little 1
look 1
lose 1
loves 1
make 1
makes 1
manifested 1
moon 1
mother 1
much 1
mysterious 1
nasty 1
nike 2
of 6
olympia 1
olympic 1
on 1
ones 1
out 2
oversee 1
own 1
past 1
picked 1
place 1
plan 1
plot 1
priestess 2
redeem 1
reveals 2
sacrifice 1
same 1
self 1
sent 2
she 3
shed 1
skin 1
snake 2
so 1
soksi 1
soon 1
sosi 10
sosipolis 2
story 1
sure 1
take 1
targeted 1
targeting 1
terrorist 1
that 6
the 20
their 1
theron 5
those 1
three 1
thunderbolt 1
to 16
transforms 1
turns 1
unable 1
uncovers 1
up 1
uses 1
victory 2
wants 2
warrior 3
warriors 2
weak 1
when 6
who 2
will 1
win 2
wont 1
years 1
young 1
zeus 1
