3123415
/m/08sybn
/m/08sybn
William Brinkley
1988-03
a 28
abhorring 1
aboard 3
about 1
abundance 1
accede 1
accidentally 1
across 1
action 1
affected 1
after 4
aftermath 1
afterwards 1
again 2
agree 1
agreement 1
agrees 1
aid 1
all 3
allows 1
along 1
although 1
america 3
american 1
among 1
an 4
and 28
angered 1
another 1
antarctica 1
any 1
approaches 1
arctic 2
area 1
armed 1
around 1
arrangement 1
arrives 1
as 7
at 7
attempt 1
authority 3
automated 1
ballistic 2
base 2
based 1
be 2
bearing 1
became 1
been 1
begin 1
beginning 2
begins 2
believe 1
believing 2
black 1
book 1
both 1
breeding 1
business 1
but 7
by 10
can 2
captain 14
carry 1
carrying 1
ceased 1
chain 1
challenges 1
charges 1
circle 1
city 1
civilians 1
cloud 1
clouds 1
coast 1
coasts 1
combat 4
command 3
commanding 2
commands 1
common 1
communication 1
community 1
concludes 1
conduct 1
conflict 1
consists 1
contact 2
contains 1
contaminating 1
correct 1
course 2
crew 10
crews 1
cruise 1
day 1
ddg80 1
decides 1
demands 3
dense 1
depart 1
derelicts 1
describe 1
describing 1
destroyed 1
destroyer 2
destroying 1
detonates 1
disaster 1
discovers 2
discusses 1
does 2
down 1
due 2
during 2
earlier 1
east 2
economize 1
embark 1
encounters 3
end 2
ends 1
england 1
equator 1
escape 2
establish 2
establishes 1
ethics 1
europe 1
eventually 1
ever 1
everyone 1
exception 1
exist 2
expanded 1
experiences 1
explains 1
explorations 1
explore 1
exposure 1
facility 1
fact 1
fallout 1
families 1
female 2
few 1
first 1
firstperson 1
flight 1
following 2
food 3
for 6
forces 2
free 1
friendly 1
from 4
fuel 6
fueled 1
full 1
fully 1
further 1
garbled 1
gibraltar 1
gig 1
go 1
group 1
guided 1
habitable 2
had 1
halfway 1
has 5
have 3
he 11
head 1
heads 1
her 2
hero 1
high 1
his 8
history 1
home 1
hopeful 1
hopelessly 1
hovers 1
how 2
however 1
icbm 1
ii 1
ill 1
immediately 1
in 17
including 1
indies 1
inhospitable 1
into 3
introduction 1
is 15
island 4
issue 1
it 4
its 4
james 13
jamess 1
jettisoned 1
joint 1
just 1
keeping 1
knowledge 1
lacks 1
land 2
lands 1
last 3
later 3
launches 1
lawful 1
leading 1
least 1
led 1
less 1
levels 2
life 1
lifeless 1
little 1
london 2
long 1
longer 2
lost 1
low 2
made 1
make 1
male 1
masses 1
mate 1
may 2
mcmurdo 1
mediterranean 1
men 1
message 3
miles 2
minority 1
missile 2
missiles 5
mission 2
mixture 1
moment 1
monogamy 1
months 3
most 3
much 2
mutineers 1
mutiny 1
mysterious 1
name 2
named 1
nathan 14
national 1
nature 1
naval 1
navy 6
nearby 1
nearly 1
needing 1
never 1
new 2
no 3
north 4
not 1
note 1
novel 2
now 2
nuclear 9
nuclearpowered 1
nursery 1
occur 1
ocean 3
odyssey 1
of 40
off 1
offer 1
offered 1
officer 6
officers 3
official 1
on 10
one 4
open 2
operation 1
order 4
ordering 1
orders 1
orel 1
out 2
outrage 1
pacific 3
part 1
parts 1
permission 1
point 3
polyandry 1
predesigned 1
pregnancies 2
prepare 1
preparing 1
proceed 1
program 1
prohibition 1
protection 1
pushkin 5
pushkins 1
quarters 1
radiation 3
radioactive 3
rafts 1
rapidly 1
reach 1
reaches 1
reaching 1
reaction 1
reader 1
rebuilt 1
receive 1
received 2
recipients 1
recounts 1
recreational 1
rediscover 1
reestablish 1
relatively 1
remaining 2
remains 1
remote 1
rendered 1
rendering 1
repeats 1
reply 2
reporting 1
research 1
resolves 1
resources 1
resulted 1
resulting 1
retrieve 1
return 1
revealed 2
reverses 1
ruins 1
sadness 1
sail 1
sailors 4
sanctuary 1
sea 3
search 2
secret 1
see 1
seen 2
senior 1
several 1
she 1
ship 17
ships 2
shocked 1
side 1
silos 1
simply 2
since 1
small 1
smoke 1
snow 1
so 2
some 1
soon 1
south 1
southward 1
soviet 7
space 1
starvation 1
states 7
station 1
steaming 2
steams 2
sterile 1
story 1
stricken 1
strike 2
strikes 1
subfreezing 1
submarine 3
such 1
suez 2
superior 1
superiors 1
supplies 2
supply 1
support 1
survivors 2
systems 4
targeting 1
temperatures 1
thames 1
that 14
the 138
their 1
them 2
themselves 2
then 7
thence 1
thereafter 1
they 1
third 1
this 7
thomas 1
thorough 1
though 1
thousand 1
thousands 1
three 1
through 5
thus 3
time 2
to 36
together 1
told 1
tomahawk 1
transmission 1
travels 1
triggering 1
truce 1
two 3
type 1
ultimately 2
uncontaminated 1
uninhabitable 2
union 1
united 7
up 1
upon 1
us 3
uss 11
verge 1
very 1
vessel 1
view 1
vote 2
voyage 1
wake 1
war 3
warning 1
warship 1
was 1
way 3
ways 1
weeks 2
well 1
wellprovisioned 1
wellstocked 1
were 1
what 2
when 2
which 6
while 2
who 2
whose 2
will 2
winter 2
wishes 1
with 12
without 3
world 4
worry 1
worth 1
wounded 1
wrestle 1
writing 1
years 1
