202147
/m/01cqlm
/m/01cqlm
John Cleland

{"/m/02xlf": "Fiction"}
13yearold 1
14 1
15 1
15yearold 1
18 1
1yearold 3
20s 1
45 1
60 1
a 70
abandons 1
ability 1
about 1
accepts 1
accident 1
actually 1
addict 1
adjoined 1
affair 1
after 11
afterward 2
afterwards 1
again 1
age 2
ago 1
alcoholic 1
almost 1
along 1
also 3
although 2
an 12
anal 1
and 40
anonymous 1
another 2
apartment 1
aphrodisiac 1
are 2
aroused 1
arrive 2
art 1
as 11
ask 1
asks 1
associate 1
assures 1
at 7
aunt 1
away 1
ayers 1
b 1
bachelor 1
back 2
ball 1
barville 1
bastard 1
be 3
became 1
because 1
become 1
becomes 2
bed 1
bedroom 1
been 2
before 1
began 2
begin 1
beginning 1
begins 2
being 2
believes 3
belonged 1
birth 1
bisexual 1
biting 1
blonde 1
book 1
both 1
boy 4
breaks 1
brothel 3
brown 7
brunette 1
brutal 1
but 11
by 13
cabinetmaker 1
can 1
career 1
caressing 1
carriage 2
catches 1
caught 1
celibacy 1
charles 13
city 1
clearly 1
clothes 1
coast 1
cole 7
come 2
complexion 1
concludes 1
confused 1
constitution 1
convinces 1
could 1
country 3
course 1
covent 1
customer 1
daily 1
daughter 3
davis 1
day 2
days 2
decides 1
deep 1
delight 1
depression 1
desires 1
despondent 1
die 1
dies 2
disappeared 1
disappears 1
discovers 1
does 1
down 2
drag 1
drinks 1
drug 1
due 2
early 1
educated 1
education 1
eight 1
elderly 1
emily 9
encounter 1
encounters 1
ends 3
engage 1
engaged 1
engages 3
engaging 2
england 1
enjoy 1
enormous 1
entered 1
enters 1
erect 1
escape 1
establishing 1
estate 2
esther 2
even 1
everything 1
exceedingly 1
experience 1
experienced 1
extensive 1
extremely 1
fact 1
fall 1
falling 1
falls 4
fanny 54
fantasies 1
father 1
favors 1
female 1
fever 1
few 3
find 2
finds 1
fingertips 1
first 3
five 1
flat 1
for 11
forces 1
forgives 1
fortune 2
forty 1
forward 1
four 1
frances 1
fresh 1
friends 1
frightened 1
from 4
garden 1
gave 1
genoese 1
gentleman 1
get 1
giant 1
girl 6
girls 2
gloves 1
go 2
gone 1
h 7
had 5
hair 1
hairychested 1
half 1
handsome 1
happens 1
hard 1
harriet 1
has 7
have 5
having 7
he 8
health 1
helps 1
her 36
herself 1
hill 2
him 3
hired 1
his 9
home 2
homosexuality 1
hopes 1
hours 1
house 1
however 1
hunt 1
hymen 1
i 1
ill 1
impotence 1
impotent 1
in 29
incident 1
individual 1
inn 2
innocent 1
insomuch 1
instantly 1
intact 2
intends 1
intercourse 1
intimacy 1
into 3
introduces 5
invited 1
ireland 1
irish 1
is 17
it 4
james 1
jewels 1
jones 5
just 1
justifying 1
kidnapped 1
knocks 1
lady 1
landlady 2
large 2
larger 1
later 6
learnd 1
learns 2
least 1
leaves 2
left 1
letters 1
life 1
lifechoices 1
lifestyle 1
like 1
little 1
lived 1
liverpool 2
living 3
local 1
locate 1
london 6
looks 2
lord 2
louisa 7
love 6
lust 1
madam 1
made 1
maid 4
make 1
male 2
man 13
many 2
marked 1
marry 1
masochist 1
masturbates 1
masturbating 1
masturbation 2
maypole 1
means 1
meets 3
men 5
merchant 1
met 1
miscarries 1
mistress 1
month 1
months 6
more 1
mother 2
move 1
moved 1
moves 1
mr 11
mrs 19
muscular 2
must 2
mutual 1
mysteriously 1
n 1
navy 1
near 1
neighborhood 1
never 1
new 2
news 1
next 4
nobleman 3
noblemen 1
nor 1
norbert 3
not 2
now 1
now16yearold 1
nursed 1
object 1
observed 1
of 24
off 3
old 3
on 4
once 1
one 2
ordeal 1
orgy 1
orphan 1
other 1
out 1
outside 1
overtax 1
parents 2
participates 1
paying 1
penis 3
period 1
permitting 1
phillips 1
phoebe 3
plans 1
plaything 1
pleasure 2
plying 1
polly 1
possible 1
pregnant 1
proportions 1
prostitute 5
prostitutes 2
prostitution 1
puberty 1
public 1
punish 1
puts 1
rackd 1
raised 1
ran 1
rape 2
reaching 1
realizing 1
relationship 2
relative 1
repulsed 1
requires 1
resolves 1
retired 1
retires 1
rich 4
ride 1
room 3
rouses 1
royal 1
rudimentary 1
run 1
runs 1
sailor 1
satisfying 1
saved 1
savings 1
scarce 1
seas 2
seduce 1
seduces 1
see 1
sell 2
sent 1
series 1
servant 1
seven 1
several 7
sex 17
sexual 5
sexually 2
shares 1
she 19
shipwrecked 1
short 5
shortly 2
since 1
sinks 1
sixty 1
size 1
small 2
so 2
some 1
somewhat 1
son 3
soon 3
south 2
spent 1
spies 2
spy 1
st 1
standard 1
startled 1
starts 1
still 2
stood 1
stool 1
stop 1
stops 1
storm 1
stream 1
street 1
struggles 1
supporting 1
swim 1
taken 2
takes 4
tale 1
talks 1
tall 1
tavern 1
teenage 1
tells 2
terror 1
than 1
that 13
the 45
their 1
them 2
then 2
they 4
this 5
three 4
time 4
times 2
to 53
together 2
treats 1
trip 1
try 2
turnd 1
turned 1
turns 1
two 7
ugly 1
unaware 1
unconscious 1
unhappy 1
unknown 1
unwittingly 1
up 2
upset 1
urbane 1
uses 1
very 1
vice 1
vigorous 1
village 2
villagers 1
violent 1
virgin 2
virginity 2
visiting 1
visits 1
was 2
watches 1
watching 1
way 1
wealth 1
wealthy 2
weapon 1
weeks 2
well 1
wellendowed 2
when 1
where 3
which 2
while 3
whipping 1
who 14
whose 1
will 5
win 1
with 27
woman 3
work 3
works 1
written 1
years 5
young 11
