15903020
/m/03qfm6x
/m/03qfm6x
Deborah Wiles

10 1
20 1
248th 1
4th 1
8yearold 1
a 9
about 2
above 1
after 3
again 1
alienated 1
all 2
alone 2
along 1
also 1
an 1
and 15
annoyed 1
annoying 1
are 3
as 2
at 2
aunt 3
aurora 1
be 2
becomes 1
been 1
befriend 1
beginning 2
best 1
birthday 1
black 1
book 4
boy 1
brother 1
burden 1
but 2
by 1
called 1
care 1
caught 1
cemetery 1
chapter 1
character 1
characters 1
close 1
closet 1
collar 2
comfort 20
company 1
country 1
cousin 2
day 1
dead 1
death 1
declaration 5
described 1
dies 3
dismay 8
dismaybut 1
ditch 1
do 1
doesnt 1
dog 1
down 1
drainage 1
each 1
edisto 2
every 1
everyone 1
family 2
father 1
fingers 1
flash 1
float 1
flood 1
florentine 2
for 3
found 1
friend 2
friends 1
from 2
funeral 3
gained 1
garden 1
gift 1
girls 1
go 1
got 1
great 3
had 2
halfway 1
having 1
he 3
hear 1
her 14
hide 1
his 1
holds 1
home 1
how 1
however 3
in 4
incident 1
is 17
it 1
johnson 1
knowing 1
labrador 1
lake 1
leaving 2
let 1
life 1
little 2
local 1
love 1
loves 1
made 1
main 2
makes 1
mean 1
memorial 1
merry 3
near 1
news 1
newspaper 1
next 1
now 1
oak 1
occasion 1
of 6
off 1
old 1
older 1
on 1
other 2
owns 2
part 1
peach 7
peachs 1
picnic 1
planned 1
pleas 1
point 1
pries 1
quickly 1
realizes 1
rejects 1
ruins 1
sensitive 1
series 1
service 1
she 1
shows 1
shuggars 1
side 1
sister 1
snapfinger 3
snobby 1
snowberger 4
snowburger 1
spoiled 2
stay 1
still 1
story 1
stream 1
struggle 1
studying 1
submerged 1
tallyhoma 1
tells 2
that 2
the 18
there 1
this 2
through 1
throughout 1
tidings 3
to 7
told 1
tree 1
true 1
uncle 3
underwater 1
upset 3
very 4
view 1
wanted 1
wants 1
water 1
when 1
which 2
while 1
who 2
whole 1
whose 1
will 2
with 5
worried 1
year 1
