3371154
/m/0983xw
/m/0983xw
Stephen Hunter
1993-03
170s 1
a 6
about 1
absolution 1
accused 1
accutech 1
agency 1
agrees 1
ammo 1
an 1
and 8
approached 2
arkansas 1
as 2
assassination 1
at 2
atrocities 1
attempt 1
attempted 1
attempts 1
becomes 1
biggovernment 1
blackbag 1
bob 5
book 1
bullet 1
but 1
by 5
career 1
commit 1
confronts 1
corps 1
crime 2
details 1
detects 1
devotes 1
dirty 1
disenchanted 1
employees 1
end 2
ended 1
enforcement 1
enlist 1
escapes 2
every 1
fatal 1
finds 1
firearms 1
first 1
foiling 1
for 2
frame 2
framed 1
friendless 1
government 1
hand 1
he 7
help 1
here 1
highend 1
him 1
himself 2
his 1
how 2
in 6
into 1
invalided 1
involved 1
is 4
law 1
life 2
lives 1
love 1
major 1
manufacturer 1
marine 1
masquerading 1
military 1
motives 1
nailer 1
nation 1
nearly 1
needed 1
of 10
offtherecord 1
on 1
organization 1
out 1
people 1
personnel 1
plot 1
point 1
portion 1
president 1
pursued 2
ramdyne 3
representatives 1
retreats 1
reveal 1
same 1
small 1
sniper 1
soviet 1
states 1
story 1
subsequent 1
suffering 1
the 19
their 3
them 3
they 1
to 5
town 1
trailer 1
true 1
two 1
types 1
united 1
untruthfulness 1
used 1
warfare 1
was 1
when 1
where 1
which 2
who 1
whose 1
wins 2
with 1
woman 1
work 1
wounds 1
