10862571
/m/02qsbv3
/m/02qsbv3
Meg Cabot
2003
a 3
algebra 1
an 1
and 1
anything 1
applauded 1
are 1
as 1
at 1
before 1
besides 1
between 1
bureaucracy 1
but 1
canceled 1
consort 1
dates 1
dreaded 1
fashion 1
fingernails 1
for 1
from 1
genovia 1
genovian 1
gnawing 1
good 1
grandmre 1
has 2
have 1
her 5
inability 1
inheriting 1
installation 1
introduction 1
is 3
isnt 1
lessons 1
longsoughtafter 1
matter 1
met 1
meters 1
mia 3
mixed 1
more 1
never 1
next 1
nor 1
nothing 1
of 4
on 2
own 1
parking 1
parkingmeter 1
politics 1
position 1
princess 2
public 1
real 1
resistance 1
result 1
results 1
royal 3
second 1
seen 1
semester 1
sense 1
stop 1
subjects 1
such 1
that 1
the 6
there 1
thing 1
title 1
to 3
troubles 1
unwanted 1
while 1
widely 1
with 2
world 1
