438479
/m/028kty
/m/028kty
Alice Randall
2001-05-01
{"/m/0fr3y1": "Parallel novel"}
a 5
african 1
although 1
american 3
an 1
and 6
around 1
as 4
ashley 1
aspiring 1
atlanta 1
avoids 1
back 1
be 1
becomes 1
black 1
bonae 1
book 1
builders 1
businessman 1
but 1
butler 1
characters 1
civil 1
comes 1
consciously 1
cotton 1
cynara 5
cynarae 1
daughter 1
dc 1
done 1
dowson 1
dreamy 1
english 2
eram 1
ernest 1
eventually 2
farm 1
father 1
for 2
forgot 1
from 4
gentleman 1
gone 4
has 1
have 1
he 1
her 2
him 2
house 1
husband 1
i 1
in 2
instead 1
is 6
its 1
later 1
leaves 1
line 1
lives 1
locations 1
love 1
magnificence 1
makes 1
mammy 1
married 1
mealy 1
melanie 1
might 1
mistress 1
mitchell 2
mouth 1
moving 1
much 1
mulatto 1
name 1
named 1
names 1
non 1
novel 1
oaks 1
of 8
ohara 1
oharas 2
on 1
or 2
origin 1
other 3
pampered 1
plantation 1
plot 1
poem 1
politician 1
quals 1
r 1
rather 1
reconstruction 2
reduced 1
refers 1
regno 1
renamed 1
rendered 1
revolves 1
rhett 1
same 1
scarlett 4
sentence 1
she 1
sister 1
slave 1
slaves 1
sold 1
southern 1
standard 1
story 1
strong 1
sub 1
sum 1
tara 1
tata 1
than 1
that 1
the 18
through 1
title 2
to 6
told 1
trees 1
twelve 2
using 1
vernacular 1
viewpoint 1
war 1
was 1
washington 1
way 1
well 1
which 1
white 1
who 1
wilkes 2
wind 4
with 4
woman 1
