1935323
/m/067955
/m/067955
Gustave Flaubert

1 1
10 1
11 1
12 1
13 1
14 1
15 1
2 1
3 1
300 1
4 1
5 1
6 1
7 1
8 1
a 7
about 2
absence 1
after 1
again 1
against 1
aid 1
an 4
and 22
apparitions 1
aqueduct 2
are 4
aristocratic 1
army 1
arrives 2
as 1
at 5
attack 1
attacked 1
attacking 1
attempt 2
away 2
axe 1
back 1
banquet 1
barbarians 1
barca 2
battle 2
be 1
because 1
bedroom 1
before 2
behind 1
bejewelled 1
believing 1
beneath 1
besiege 1
betrothed 1
blame 1
both 1
breaking 1
bridge 1
bring 1
broken 1
brought 1
but 3
by 4
camp 1
carthage 8
carthaginian 2
carthaginians 1
caught 1
celebrations 1
changed 1
chapter 15
character 1
children 1
city 4
comes 2
complicity 1
council 1
crucifixion 1
cuts 1
damage 1
daughter 3
death 2
deaths 1
defeats 1
defends 2
defile 2
delays 1
destroy 1
die 1
dies 1
disguise 1
disguises 1
dispersed 1
divine 1
done 1
draped 1
driven 1
drives 1
drought 1
during 1
each 1
encampment 1
encampments 1
enter 1
execution 1
falls 2
father 1
feast 1
fictional 1
field 1
finds 1
first 1
flees 1
for 3
freed 1
from 2
fulfil 1
garden 1
general 1
goddess 1
groups 1
guardian 1
had 1
hamilcar 11
hannibal 1
hanno 5
has 3
havas 1
have 1
he 4
help 1
her 5
hero 1
him 2
himself 1
hippozarytus 1
his 7
in 12
instructed 1
into 2
is 11
it 3
its 1
itself 1
later 2
leader 1
leave 2
losses 1
love 2
lust 1
macar 2
made 2
make 1
massacre 1
matho 11
meeting 1
mercenaries 15
mercenary 1
miles 1
moloch 2
narr 1
object 1
obsessive 1
occupies 1
of 20
off 2
on 1
ornate 1
other 1
penetrate 1
perpetrator 1
persuade 1
place 1
prays 1
priestess 1
promises 1
prompting 1
property 1
punic 1
pursuit 1
quell 1
reaches 1
recompensing 1
released 1
retrieve 1
return 1
returns 1
riot 1
routs 1
sacred 1
sacrificed 1
salammb 7
sanctorum 1
sanctum 1
saw 1
schahabarim 2
scheming 1
see 1
sees 1
sends 2
serpent 1
she 2
shock 1
sicca 2
sides 1
slave 2
slavechild 1
slingers 1
slowly 1
son 2
speaks 1
spendius 8
split 1
sport 1
starve 1
statue 1
stayed 1
steal 2
steals 1
supply 1
surprises 1
suspicion 1
take 1
takes 1
tanit 2
tells 1
temple 1
tent 2
the 60
their 2
them 2
they 2
this 1
those 1
thousands 1
three 1
title 1
to 20
tortured 1
touched 1
touching 1
trapped 2
travel 1
treacherous 1
tries 2
troops 3
turns 1
two 1
unable 1
under 2
unpaid 1
upon 1
utica 3
veil 3
via 1
victory 2
walls 1
war 1
water 1
when 3
while 1
who 3
will 1
with 3
witnessing 1
zamph 6
zarxas 1
