32229508
/m/0gy17qc
/m/0gy17qc
Joyce Maynard

13yearold 1
30s 1
a 6
about 1
adele 4
admits 1
agoraphobia 1
agree 1
an 1
and 7
any 1
approaches 1
as 3
bake 1
baseball 1
be 2
become 1
been 1
before 1
better 1
bleeding 1
car 1
change 1
claim 1
classmates 1
convicted 1
day 2
depression 1
despite 1
different 1
divorcee 1
each 1
early 1
emerges 1
escaped 1
expects 1
family 1
fantasizing 1
female 1
flat 1
foods 1
for 1
forehead 1
frank 4
from 2
frozen 1
go 1
hampshire 1
hamster 1
hands 1
has 1
have 1
he 2
henry 5
her 1
his 10
how 1
however 1
in 4
indeed 1
infatuated 1
is 3
it 2
labor 2
life 1
lonely 1
long 1
lovestarved 1
makes 1
man 3
meals 1
means 1
meanwhile 1
meet 1
mother 3
murderer 1
mysterious 1
never 1
new 1
no 1
of 1
on 3
only 1
other 1
past 1
persuades 1
pet 1
playing 1
prison 1
reason 1
recounts 1
request 1
rest 1
ride 1
sees 1
shares 1
shopping 1
should 1
son 1
summer 1
survive 1
teaches 1
television 1
that 5
the 6
their 1
there 1
they 1
thirteenth 1
this 2
throw 1
thursday 1
tinned 1
tire 1
to 5
trip 1
unedifying 1
unkempt 1
watching 1
weekend 3
who 1
why 1
with 3
wounded 1
year 1
