3816721
/m/0b1fy9
/m/0b1fy9
David Lodge
1991
a 7
abuse 1
abused 1
after 1
always 1
and 7
apology 1
arrival 1
as 3
at 1
aunt 1
awakening 1
bedside 1
been 1
begins 1
bernard 9
between 2
black 1
brother 1
but 1
by 5
cancer 1
car 2
catholic 1
characters 1
child 1
concluding 1
day 1
death 1
diary 1
discover 1
driver 1
du 1
dying 1
encountered 1
england 1
escorting 1
experience 1
explains 1
family 1
father 2
for 2
frnouvelles 1
from 4
gets 1
gradual 1
had 1
hawaii 2
her 4
hero 1
his 4
hit 2
home 1
hospital 1
illness 1
in 2
is 2
jack 6
journey 1
kept 1
knew 1
laicised 1
letter 2
life 1
long 1
marriage 1
midst 1
miller 1
much 1
narrative 1
notes 1
nursing 1
of 5
oldest 1
on 2
opportunity 1
paradis 1
parallels 1
past 1
plane 1
portrayed 1
postcards 1
priest 1
prose 1
relationship 1
request 1
ruined 1
sean 1
selfish 1
sent 2
sexual 1
sexually 1
she 1
sheep 1
silent 1
spends 1
story 1
strikes 1
struggle 1
switches 1
tentative 1
that 2
the 14
their 1
thirdperson 1
this 2
through 1
time 1
to 6
travelling 1
unwilling 1
up 1
ursula 5
various 1
venerated 1
wants 1
war 1
was 1
who 2
with 4
yolande 3
