1472795
/m/0547qh
/m/0547qh
James Wolcott

140135212x 1
americans 1
and 2
ann 1
as 2
asserts 1
attack 2
bill 1
chris 1
coulter 1
dennis 1
destroying 1
disaffected 1
discourse 1
dubs 1
figures 1
he 2
his 1
include 1
is 1
isbn 1
limbaugh 1
matter 1
matthews 1
media 1
michael 1
miller 1
mutants 1
noonan 1
novak 1
oreilly 1
other 1
panders 1
peggy 1
political 1
poodles 2
popular 1
pundits 1
rightwing 1
robert 1
rush 1
savage 1
simplistic 1
sloganeering 1
subject 1
such 1
takes 1
their 1
these 1
to 1
tv 1
which 1
whom 1
wolcott 1
