3961878
/m/0b8vrc
/m/0b8vrc
William Rowley
1621

1 7
106 1
11 1
11117 1
1214an 1
13 1
15 2
171 1
18 1
18202 1
2 8
200 2
23132 1
24 1
3 5
300year 1
31 3
4 3
5 3
6367 1
73 1
80 1
81 1
8284 1
a 98
abbey 1
ablaze 1
able 1
about 10
absurd 1
abuses 1
ac 1
accompanied 1
accomplice 1
according 1
accusations 1
accuses 2
acquiesces 1
act 15
actions 1
activities 1
acts 1
actual 1
actually 1
adds 1
admits 2
adultery 1
adversariesenters 1
afraid 1
after 4
again 5
against 2
agree 1
agreed 1
agrees 4
ahead 2
alarmed 1
all 9
allow 1
allows 1
almost 1
alone 4
along 1
aloud 1
already 3
also 6
am 1
an 17
and 138
angry 1
animals 1
anne 3
annes 1
another 4
answer 1
anxiety 1
any 4
anyone 1
anything 2
anytime 1
anyway 1
apologizes 2
apologizing 1
appear 1
appears 3
appetite 1
are 15
arguing 1
arises 1
around 4
arrangements 2
arrest 3
arrived 2
arrogant 1
art 1
arthur 15
as 31
aside 5
ask 1
asked 1
asks 16
assembly 2
assume 1
assumed 1
assumes 2
assurance 1
assurances 1
at 15
attack 1
attacked 1
attempt 1
attend 1
authors 2
away 8
awhile 1
baby 1
backyard 1
bad 1
baits 1
banks 27
bankswhom 1
barks 1
barn 1
be 19
beat 2
beauty 1
because 9
bed 1
bedroom 1
bedside 2
been 3
before 1
befriended 1
beg 1
beggary 1
begin 3
begins 2
begs 4
behind 3
bells 1
belt 1
besides 1
better 1
bewitched 2
bids 1
big 1
bigamous 3
bit 3
bitterly 1
black 3
blames 2
blaming 2
blood 1
bloody 1
blowing 1
body 3
both 1
boy 4
brains 1
bravery 1
bread 1
break 1
bringing 1
brings 1
brought 2
brushing 1
burdening 1
burn 4
burning 1
business 1
but 24
butter 1
by 16
cajoling 1
calls 8
calm 2
can 8
cannot 1
cant 1
care 1
carry 1
carrying 2
carter 28
carters 9
cattle 2
caught 1
caused 2
causing 2
chance 1
change 2
chanting 1
characters 3
charge 1
chases 1
cheer 2
cheerfully 1
chicken 3
chief 1
child 3
choice 1
choose 1
chosen 1
chuckles 1
churned 1
civil 1
claims 1
clarington 21
claringtons 6
clarningtons 1
class 1
clear 1
close 1
clothes 1
clownishly 1
coarse 1
coffin 1
come 1
comes 1
comfort 1
coming 1
command 1
commanded 1
committed 1
common 1
complains 1
concerns 1
condemn 1
condition 1
confess 3
confessed 1
confesses 1
console 1
constable 1
contemporary 1
continual 1
continue 1
continues 1
contrary 1
conventional 1
conviction 1
convinced 3
corn 1
corpse 1
corresponds 1
costume 1
counterfeit 1
country 1
countryman 1
countrymen 14
couple 1
course 1
court 1
courts 1
cover 2
cow 1
crazier 1
crazy 1
cream 1
creature 1
crime 1
crimes 1
crops 1
cross 1
cuddy 31
cue 1
curse 1
curses 7
cursing 1
cut 2
cutthroat 1
damage 1
dance 4
dancer 1
dancers 4
dancesan 1
dancing 1
dare 1
daughter 4
daughters 3
day 1
days 1
dead 2
deal 2
deals 1
death 1
debtswithout 1
decides 1
decision 1
declarations 1
decrepit 1
defacing 1
defend 1
defends 1
delivers 2
demonic 1
demonstrate 1
departure 1
derides 1
derive 1
description 1
deserve 1
desires 1
despair 1
despite 2
destiny 1
devil 4
devildog 34
devildogs 1
devils 2
did 1
die 3
dinner 1
discover 1
discovered 1
discuss 1
disdain 1
disgruntled 1
disguise 1
disguised 2
dishonor 1
disown 1
dissembler 1
distaste 1
distraught 1
divisions 1
do 2
doctrine 1
does 3
doesnt 2
dog 6
dogs 1
doing 1
done 1
doodle 4
down 6
dowry 6
drag 1
draw 1
dressed 2
driven 1
ducks 1
duel 2
during 1
early 1
earnest 1
ed 1
edmonton 4
elder 1
else 1
emphasizes 1
enabling 1
encourage 2
encourages 2
end 1
ends 2
enforce 1
enough 1
enter 5
entered 1
enters 21
epilogue 2
essex 1
estate 6
eternal 1
even 2
eventual 1
ever 1
everyone 6
except 3
exchange 2
executed 5
exit 6
exits 14
explains 1
explanation 1
eyelids 1
f 1
fact 3
faints 1
fairly 1
faith 1
faithful 2
faithfully 1
faithfulness 1
fall 2
false 1
family 1
far 3
farmer 1
father 14
fathers 5
favour 1
fear 3
fearful 1
feeling 1
fellow 6
few 4
fiance 1
fiddle 3
fiddler 1
field 3
fight 1
finally 1
financial 1
find 3
finds 3
fine 1
fines 1
finished 1
fire 2
fires 1
first 3
flatters 1
flee 2
flees 1
focus 1
follow 5
followed 2
following 3
follows 3
fool 1
for 46
forced 1
forcing 1
foreshadows 1
form 5
forward 2
fouler 1
found 1
four 1
frank 74
franks 14
free 2
friend 2
frightened 2
from 18
further 1
future 1
gallows 2
gathers 1
gentle 1
gentleman 2
get 11
give 3
given 1
gives 4
go 9
goes 2
going 2
good 4
goodbye 1
got 2
gotten 2
greets 2
ground 1
guesses 1
guilt 2
ha 4
hand 1
handful 1
hands 3
hanged 1
happy 2
hard 1
hark 1
has 32
hasnt 1
hated 1
have 8
having 1
he 119
head 1
hear 1
heat 1
heaven 3
help 4
helps 1
her 81
herit 1
hers 1
herself 2
hide 1
him 59
himself 6
his 83
hobbyhorse 1
hold 2
holding 1
home 3
hope 1
hopes 1
hoping 2
hornpipe 1
horse 3
hot 1
hour 1
hours 1
house 1
hovel 1
how 4
however 2
hunt 1
hunting 1
husband 2
husbands 1
i 2
identities 1
if 13
ignorance 1
illness 1
immediately 1
impending 1
improve 1
in 59
income 1
indeed 1
indication 3
inflict 1
influenced 1
inheritance 2
innocence 2
inside 1
insists 1
instead 3
instructed 1
instructions 1
instrument 1
intends 2
interview 1
into 6
invisible 4
invites 2
is 69
isnt 2
isolation 1
it 15
jewel 1
job 1
john 1
joint 1
joy 1
judges 1
just 1
justice 10
katherine 23
keep 1
keynote 1
kill 2
kind 2
kinney 1
kiss 1
kisses 3
knife 5
lack 1
lame 1
lancashire 1
land 1
lands 2
large 1
later 1
laughs 2
lead 2
leads 1
least 1
leave 3
leaving 1
lechers 1
left 1
legs 1
leniently 1
let 5
letter 5
lies 1
life 1
lift 1
lightning 1
lights 1
like 3
likely 1
likeness 1
likes 1
lines 1
live 6
living 1
local 1
london 1
long 2
look 3
looks 2
loss 1
lost 1
love 5
loves 2
loving 1
lust 1
mad 1
made 4
maid 1
make 9
makes 3
making 2
man 2
many 2
marks 1
marriage 8
married 6
marry 8
marrying 2
massacred 1
master 2
may 1
me 3
meet 1
men 1
mens 1
mentions 1
mere 1
might 2
mildew 1
mimicking 1
mind 2
minds 1
mischief 5
miser 1
misery 1
misfortune 4
miss 1
mistakenly 1
mistakes 1
modest 1
moment 1
moments 1
money 9
month 1
mood 1
more 2
morrisdance 1
morrisdancers 7
morrisdancing 2
mortgaged 1
most 1
mother 44
move 1
much 1
murder 3
murdered 3
murderers 4
music 1
must 7
my 3
naked 1
name 1
named 1
nation 1
near 1
needs 1
neighbors 1
never 3
new 2
newgate 1
news 1
next 1
nine 1
no 2
noble 1
nonsense 1
not 26
notably 1
note 1
notes 2
notice 1
noting 1
notwarbek 1
now 9
nowadays 1
oath 1
occasions 1
of 60
off 6
offers 2
officers 7
offstage 3
oh 1
old 64
on 20
once 3
one 7
only 4
onstage 1
opens 1
opportunity 1
optimistic 1
or 6
order 5
ordered 1
orders 3
other 10
ought 1
out 9
over 4
own 1
ownership 1
painted 1
palmreader 2
paned 1
paps 1
part 1
pass 1
passively 1
path 1
pay 2
pea 3
peace 1
penitent 1
people 1
perform 3
performance 1
performs 1
perhaps 1
persecuted 1
person 1
personality 1
physical 1
pick 1
picture 1
