5236234
/m/0d9blj
/m/0d9blj
Amelia Atwater-Rhodes
2004-09
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 13
ability 1
about 3
absolutely 1
after 1
against 1
agitated 1
ahnmik 1
almost 1
always 2
and 16
another 2
aplomado 1
are 6
arises 1
arrived 1
as 1
avian 1
avians 3
back 2
be 1
becomes 1
before 1
begun 1
being 1
best 1
between 1
both 3
but 3
by 1
can 2
capable 1
casually 1
child 5
cobra 2
cobrahawk 1
codominant 1
come 1
complicating 1
conscience 1
considering 1
courage 1
crazy 1
criminal 3
cultures 1
danica 7
defending 1
destroy 1
do 2
dominated 1
drag 1
during 1
each 1
empire 1
end 1
enormous 1
experiences 1
fact 2
falcon 5
falcons 1
feels 1
fit 1
flight 1
for 1
forced 1
fragile 1
genes 1
hand 2
happen 1
hardly 1
has 5
have 1
hawk 2
healthy 1
hearing 1
her 6
idea 1
if 1
in 1
increasingly 1
into 1
is 8
island 2
it 2
join 1
just 2
leader 1
lines 1
little 1
loved 1
loyal 1
magic 1
magics 1
make 1
man 1
met 1
mixedblood 1
mixture 1
more 2
motivation 1
near 1
need 1
neither 2
no 3
nor 1
not 1
nowhere 1
of 12
old 1
on 3
or 1
other 4
out 1
over 1
peace 1
people 1
powerful 2
pregnant 1
pressure 1
problem 1
putting 1
question 1
raise 1
rei 1
respect 1
reunification 1
royal 3
search 1
seems 1
serpent 1
serpiente 4
several 1
she 4
sides 2
society 1
someone 2
spite 1
stirring 1
stop 1
stories 1
sure 1
syfka 4
taking 1
that 4
the 27
their 1
themselves 1
there 1
they 1
things 2
thousands 1
throne 1
to 17
top 1
try 2
trying 1
turned 1
two 2
union 1
up 2
use 1
warming 1
way 1
what 1
whether 1
who 2
willing 1
with 3
woman 1
wonder 1
worried 1
would 2
years 1
young 1
zane 5
