12029869
/m/02vmgbd
/m/02vmgbd
Jean Thesman

{"/m/04rlf": "Music", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 6
about 1
affection 1
an 1
and 4
at 1
away 1
be 1
between 1
blossoming 1
boy 1
break 1
by 2
can 1
career 1
chance 1
course 1
decide 1
decisions 1
denigration 1
despite 1
doesnt 1
domineering 1
especially 1
even 1
explain 1
fate 1
father 1
figure 1
find 1
for 1
foster 1
from 2
gets 1
ghost 1
girl 2
grandmother 1
happens 1
have 1
he 1
her 6
herself 1
house 1
in 3
investigating 1
is 2
it 1
julia 3
life 1
live 1
luke 2
make 1
marsh 2
may 1
meets 1
moon 1
mother 3
moving 1
music 1
must 1
mysterious 1
mystery 1
night 1
of 5
oldfashioned 1
on 2
out 1
seattle 1
she 3
sort 1
strength 1
the 8
them 1
things 1
though 1
tied 1
to 9
true 1
trying 1
valley 1
want 1
way 1
ways 1
whether 1
while 2
whose 1
with 1
