27565408
/m/0c41f2h
/m/0c41f2h
Mary Norton
1955
{"/m/014dfn": "Speculative fiction"}
a 7
after 1
although 1
an 2
and 5
are 2
arrietty 5
assists 1
at 1
back 1
be 1
boot 2
borrower 2
borrowers 1
boy 1
bringing 1
brings 1
brother 1
by 1
caravan 1
claimed 1
clock 1
clocks 1
cold 1
cottage 2
cows 1
danger 1
discover 1
discovers 2
dog 1
driven 1
english 1
everything 1
eye 1
field 1
find 1
finds 1
for 1
forced 1
found 1
friend 2
from 2
goodenough 2
gypsy 1
had 1
happened 1
have 1
he 1
help 1
her 3
his 2
home 2
homeless 1
hoped 1
house 1
how 1
human 1
in 5
is 1
kate 1
knew 1
leads 1
learn 1
life 1
lifethreatening 1
live 1
lives 1
longlost 1
looking 1
lost 1
may 2
meat 1
meets 1
met 1
mice 1
mild 1
moths 1
mrs 2
mysterious 1
named 2
nearly 1
next 1
night 1
nowhere 1
of 1
old 2
on 1
one 1
original 1
outside 2
owner 1
parents 1
present 1
property 1
relatives 2
rescues 1
residence 1
saves 1
spiller 2
stay 1
survive 1
take 1
tells 1
tenant 1
that 4
the 10
their 3
them 5
there 1
they 6
tiny 2
to 8
tom 4
up 1
weather 1
were 1
what 1
when 1
while 1
who 1
wild 2
with 3
