3603856
/m/09pbk1
/m/09pbk1
Dori Koogler
2002-09
a 2
accidentally 1
actions 1
actually 1
addams 1
after 1
and 3
as 1
attempting 1
becomes 1
begins 1
believes 1
book 1
buffy 1
care 1
cecily 1
chants 1
class 2
concentrate 1
course 1
daughter 1
dawn 1
days 1
decided 2
decides 1
discussing 1
drama 1
dramatic 1
drop 1
due 1
early 1
ends 1
engrossed 1
especially 1
even 1
fates 2
father 1
for 1
has 1
he 3
her 5
his 3
in 4
interest 1
involved 1
is 3
it 1
keep 1
killed 1
list 1
locate 1
located 1
love 1
mortal 1
needs 1
of 4
old 1
on 2
own 2
particularly 1
power 2
powerful 1
professor 3
realise 1
realizing 1
resurrect 1
rituals 1
she 1
slaying 1
some 1
somewhere 1
spike 3
still 1
summon 1
sunnydale 1
taking 1
teacher 1
that 2
the 8
though 1
to 8
unfortunately 1
use 2
used 1
vampire 1
when 1
which 1
who 1
willow 3
works 1
