21891532
/m/05p433_
/m/05p433_
John Byrne


150s 1
157 1
158 1
a 17
about 2
accepted 1
actual 1
actually 3
advises 1
after 1
afternoon 1
agrees 1
alan 3
all 1
already 1
also 3
altered 1
always 1
amazement 1
an 1
and 30
another 1
appears 4
application 1
applied 1
are 6
arrives 1
art 4
as 6
ask 1
asking 3
assume 1
asylum 1
at 4
attempting 1
autobiographical 1
avoid 1
away 1
back 2
bad 1
badger 1
bantering 1
be 3
beautiful 1
been 3
before 2
behalf 3
being 2
believing 1
bemoans 1
better 2
bloodied 1
blows 1
bluntly 1
boss 2
boy 2
boys 3
breast 1
briefly 1
brings 1
broach 1
burst 1
but 6
butch 1
buys 1
by 3
byrne 3
call 2
can 1
carpet 3
case 1
cassidy 1
cause 1
character 1
charmed 1
clearly 1
clever 1
clothes 1
clothing 1
co 1
come 3
comes 2
company 1
courtship 1
crudely 1
crudelytailored 1
culture 1
curry 4
curtly 1
custody 1
dame 1
dance 1
date 1
delivers 1
described 1
design 1
designer 1
details 1
did 1
digesting 1
do 1
does 1
doing 1
downie 1
during 1
early 1
end 1
endear 1
ensues 1
enter 1
enters 1
escaped 1
even 1
eventually 1
everyone 1
f 1
face 1
factory 3
fair 1
fall 1
fantasyworld 1
far 2
farce 1
fast 1
father 1
feeling 1
ferguslie 1
finally 2
find 2
focuses 1
following 1
football 1
for 11
forget 1
friday 1
from 2
further 1
get 1
gets 2
getting 1
give 1
glasgow 2
go 1
going 5
gone 1
got 1
grand 1
grinding 1
grow 1
had 1
haircut 1
handful 1
has 5
have 1
having 1
he 17
hector 13
hell 1
help 1
her 4
herself 1
hidden 1
hiding 1
hilarity 1
him 12
his 8
hogg 1
hole 1
hopes 1
how 2
however 1
humour 1
husband 1
importantly 1
in 18
incarcerated 1
incumbent 1
indeed 1
industrial 1
injuring 1
interval 1
into 1
introduces 1
is 25
it 7
jack 3
just 1
kid 1
knows 1
knuckles 1
ladder 1
last 1
late 1
later 1
learn 1
leaves 1
let 1
line 1
looking 2
lucille 8
lunchbreak 1
made 1
manners 1
manufactures 1
mastectomy 1
mccann 1
men 1
mentally 1
missing 1
more 1
morning 2
most 1
mother 2
mr 2
mystery 1
never 1
news 1
night 1
not 4
note 1
now 2
obviously 1
of 11
off 3
old 1
on 9
once 1
one 1
only 3
opening 1
or 1
out 5
over 1
own 1
paisley 1
park 1
paste 1
people 1
perturbed 1
phil 22
phone 2
piece 1
place 1
play 2
points 1
portfolio 1
presenting 1
probably 1
promoted 1
prosthetic 1
provides 1
punch 1
raised 1
rather 2
reach 1
real 1
reappears 1
reason 1
reassemble 1
recent 1
refused 1
refuses 1
resolve 1
retorts 1
reveals 1
richer 1
room 3
round 3
ruse 1
sacked 2
sacking 1
sadie 3
scalp 1
scene 1
school 4
scissors 1
scotland 1
selling 1
semi 1
set 3
shame 1
she 4
shocked 1
slab 7
some 3
someone 1
sorry 1
sounds 1
source 1
spanky 10
specially 1
staff 1
staffie 1
stage 1
starts 1
step 1
stobo 1
stoddard 1
stood 1
story 1
strolls 1
subject 1
subsides 1
succeed 1
suggests 1
sundance 1
superior 1
surprise 1
tailoring 1
taken 1
takes 1
target 1
teabreak 1
tealady 1
technicolour 1
tell 1
tells 1
terrifies 1
than 1
that 14
the 49
their 2
then 2
there 1
they 5
thinking 1
this 8
three 1
threw 1
thus 1
tickets 1
to 25
too 1
tough 1
transpires 1
trouble 1
trying 1
turn 1
two 2
typical 1
under 1
unfortunately 1
university 1
unlike 1
unstable 1
up 6
used 1
useless 1
various 1
wages 1
waiting 1
walkons 1
wanders 1
ward 1
was 5
we 2
which 1
while 4
who 5
whose 2
will 2
win 1
window 1
wise 1
with 4
woman 1
work 3
worked 1
workingclass 1
world 1
worldweary 1
year 2
yetagain 1
young 2
youngster 1
