843511
/m/03g9m8
/m/03g9m8
Charles Dickens
1854
{"/m/0blvpd": "Industrial novel", "/m/05hgj": "Novel"}
12 1
30 1
67 1
a 45
abandoned 1
abandons 1
ability 2
able 1
about 2
absent 1
abstention 1
accepts 1
accuses 3
acerbic 1
acrimony 1
adam 1
admonition 1
adultery 1
affair 2
affluent 1
afford 1
after 5
again 2
age 1
all 2
along 1
alongside 1
already 1
also 3
altogether 1
americas 1
amongst 1
an 14
and 62
animal 1
annulment 1
any 1
anyway 1
apathetic 1
appear 1
are 4
around 1
arrives 2
as 12
asking 1
assent 1
assuming 1
astounded 1
at 16
attend 1
attention 1
austere 1
averse 1
avoided 1
aware 1
bachelorhood 1
back 3
bad 1
bank 7
based 1
basis 2
bastion 1
be 7
became 1
because 1
become 1
bedevilled 1
been 4
before 2
begged 1
behest 1
behind 1
being 5
believes 1
betrayed 1
better 2
between 1
bewildered 1
bid 1
bidding 1
bitzer 2
blackface 1
blackpool 3
blusterous 1
boarded 1
book 4
bored 1
boredom 1
boss 1
both 2
bounderby 27
brings 1
brother 2
brought 1
bully 1
bumps 1
burglars 1
business 1
but 4
by 21
calculations 1
call 1
called 1
calm 1
can 1
cannot 1
capital 1
carpet 2
cast 1
catches 1
censured 1
childhood 4
childish 1
childless 1
children 3
choice 1
circus 9
class 1
classical 1
classmate 1
close 2
clothes 1
coachman 1
coketown 7
collaborators 1
collapses 1
come 2
comes 1
committed 1
companion 2
company 1
comparison 1
completing 1
conceit 1
concur 1
conduct 1
confessing 1
conflict 1
confounded 1
consistently 1
contempt 2
continue 1
continues 1
could 1
crime 1
danger 1
dangers 1
dashing 1
daughter 1
day 5
debased 1
decides 2
defeat 1
define 1
definition 2
dejected 2
denies 1
denunciatory 1
denying 1
departs 1
described 2
description 1
desertion 1
desiccative 1
desire 1
despite 2
despondent 1
devoid 1
dictatorial 1
dies 3
dilemma 1
directions 1
discomfited 1
disconcerted 1
disconsolate 1
discontent 1
discuss 1
discussing 1
disguised 1
dismisses 1
dispatch 1
disperse 1
disregard 1
dissatisfaction 1
divorce 1
do 1
does 4
down 3
dramatic 1
drunken 1
due 2
during 1
each 3
earlier 1
early 1
easily 1
ecstatic 1
education 7
effect 1
efforts 1
either 1
else 1
emotions 1
employer 1
end 1
ended 1
enlisting 1
entering 1
enterprise 1
enters 1
entirely 1
entitled 2
escape 1
escaped 1
espousal 1
essay 1
ethic 1
event 1
eventually 1
everyone 1
exculpate 1
exile 1
explains 1
express 1
expresses 1
extinguished 1
extreme 1
fact 4
factories 1
facts 2
factual 1
factually 1
falls 1
false 1
falsehood 1
famous 1
fancy 4
farewell 2
father 10
fealty 1
feelings 2
feet 1
fellow 2
find 3
finds 2
finishes 1
fire 1
fit 1
floor 1
flowers 2
focused 1
follows 2
for 14
forfeit 1
forfeited 1
formed 1
forthcoming 1
friends 1
from 10
fronted 1
frustrate 1
future 1
galatians 1
garnering 1
gentleman 1
get 1
give 1
given 1
gives 1
giving 1
going 1
gradgrind 22
greatly 1
grief 1
grown 2
grows 1
gutter 1
had 4
halfwritten 1
hands 2
hard 1
harthouse 9
has 18
have 6
having 1
he 25
hed 1
hell 1
her 35
herself 1
him 12
himself 2
hired 1
his 29
home 1
honesty 1
