6157405
/m/0ft67j
/m/0ft67j
Samuel Youd
1970
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/070l2": "Soft science fiction", "/m/0c082": "Utopian and dystopian fiction", "/m/026ny": "Dystopia"}
a 33
able 1
about 10
absence 1
accounting 1
across 1
adapt 1
address 2
adjacent 1
affairs 1
again 6
against 1
aid 1
alarm 1
all 1
allows 1
almost 1
alongside 1
already 2
also 5
amazingly 1
an 3
and 55
anger 1
angrily 1
another 1
answers 1
anywhere 1
appears 1
appraised 1
apprehensions 1
appropriating 1
approval 1
archery 1
are 6
area 1
arguing 1
armed 1
army 1
around 1
aroused 1
arrival 1
arrives 3
articles 1
as 18
ashamed 1
asks 2
assimilating 1
assured 1
at 5
attempts 2
attitude 1
authorities 2
avoid 2
aware 2
away 1
backstory 1
band 1
barrier 4
be 6
beating 1
because 1
becomes 2
been 12
before 2
begun 1
behaviour 1
being 3
best 1
between 1
blankets 1
blend 1
blind 1
blisters 1
boarding 1
bonsai 2
both 4
bought 1
boy 4
boys 1
brain 1
brings 1
bristol 1
bullying 1
but 5
by 12
cake 1
calmed 1
can 5
catching 1
causes 1
cave 5
cecily 1
celebrates 1
certain 1
challenge 1
change 1
changed 1
changing 1
chase 1
cherry 1
christmas 1
clean 1
clear 2
closes 1
clothing 1
coffee 1
comes 2
comfortably 1
coming 1
complimenting 1
concealment 1
confident 1
confronts 1
considerable 1
contact 1
contest 1
continues 1
conurb 3
conurban 2
conurbs 7
conversation 1
countering 1
county 11
cross 1
crossed 1
crosses 1
current 1
daniel 1
day 1
dead 1
dealings 1
death 2
decide 1
decision 1
declares 2
declaring 1
demands 1
desperation 1
detection 1
determination 1
determined 1
devises 1
differences 1
dig 1
dinner 1
disciplinary 1
discrepancies 1
discussion 1
dismisses 1
dissuade 1
distance 1
disturbingly 1
dividing 1
divulged 1
docile 1
does 4
doing 2
done 1
down 2
driven 1
due 1
during 1
easily 1
either 1
elderly 1
eleventh 1
else 1
emerges 1
enforcement 1
engaged 1
enough 1
ensues 1
entirely 2
epiphany 1
escaping 1
escort 1
especially 2
even 2
evening 1
eventually 1
everything 1
except 1
exchange 1
expansive 1
explains 1
fact 1
failings 1
fall 1
family 4
far 2
father 4
fear 1
feared 1
fears 1
feels 1
feet 1
figure 1
find 1
finding 1
finds 1
fishing 1
fit 1
fled 1
following 2
food 2
foot 1
for 10
forced 1
forgotten 1
found 2
fourteenyearold 1
frankly 1
freedom 1
friday 1
friends 1
from 7
fugitive 1
fully 1
further 2
gang 1
gap 1
garden 1
gathering 1
gentry 2
getting 1
gifford 17
giffords 3
given 2
gives 2
going 1
good 1
government 1
great 1
greater 1
greatest 1
gregory 2
group 1
groupthink 1
grown 1
guardians 2
had 14
hall 1
hand 1
hands 1
harcourt 2
harsh 1
has 9
haste 1
have 7
having 2
he 40
headquarters 1
heated 1
heavilysurveilled 1
held 1
help 2
hence 1
her 3
herself 1
him 25
himself 5
hints 1
his 35
hold 1
home 3
hoping 1
horror 1
horse 2
horseriding 1
hospitable 1
hours 1
house 5
household 2
housekeeper 1
how 1
however 2
identity 1
if 2
immediately 1
impulse 1
in 37
incomplete 1
increasingly 1
inducted 1
informing 1
inherited 1
initial 1
initiative 1
instead 1
insurrection 1
intelligence 1
intention 1
interest 1
interested 1
into 10
intolerable 1
introducing 1
involvement 2
is 28
issues 1
it 8
join 4
joins 1
justify 1
keep 1
killed 1
kindness 1
know 1
knowledge 2
known 1
knows 2
lack 1
large 1
largely 1
last 1
latenight 1
later 2
laugh 1
law 1
leaders 1
leaving 1
less 2
leverage 1
liberating 1
lie 1
life 2
list 1
little 2
living 1
location 1
london 1
long 2
longer 2
make 2
makes 1
making 1
man 2
manage 1
manipulate 1
mannerisms 1
manners 1
masses 1
means 1
measures 1
meet 1
men 2
merits 1
mike 32
mikes 1
mind 1
months 1
more 4
morning 2
most 1
mother 2
movement 3
mr 4
mrs 8
much 2
must 1
name 1
named 2
nearby 1
nearest 1
need 1
nepal 2
nepalese 1
news 3
next 2
night 4
no 3
northwest 1
not 13
noted 1
noticed 2
notices 2
noting 1
now 2
obedient 1
of 35
off 1
offer 1
offers 1
old 2
older 2
on 8
once 1
one 2
only 1
operation 1
oppression 1
option 1
or 2
orders 1
organised 1
orphaned 1
other 1
out 10
over 5
overseers 1
oxford 2
partly 1
party 1
pass 2
passes 2
past 1
patrol 1
penfold 5
percy 7
perfect 1
performed 1
perhaps 1
perrott 2
place 2
plan 1
planned 1
plausible 1
playing 1
plight 1
popular 1
position 2
possibility 1
preoccupation 1
prepares 1
presence 1
present 3
previous 1
principle 1
privacy 1
probably 1
procedure 1
proceed 1
progress 1
prompting 1
proposes 1
proves 1
pulls 1
put 4
questioning 1
questions 1
quickly 1
quiet 1
raise 1
raised 1
raises 1
randall 1
reading 1
real 1
realises 3
reasoning 1
rebellion 1
rebels 1
rebukes 2
record 1
recounts 1
recruit 1
refuses 1
relative 1
remain 3
reminding 1
renders 1
reported 1
response 1
responsible 1
rest 2
restrained 1
return 2
returning 1
returns 2
reveals 1
revelation 1
revolt 2
revolutionaries 1
ridden 1
ride 3
rider 1
rides 1
rife 1
right 1
ritual 1
rob 54
roger 2
room 1
rumour 1
rumours 1
run 2
running 1
sadness 1
safely 1
safety 1
said 1
satisfy 1
saying 1
school 4
searching 1
secrecy 1
secret 4
seditious 1
see 2
seems 2
senior 1
seniors 1
sent 1
servants 1
set 1
settler 1
several 2
shake 1
shares 1
she 9
shocks 1
should 2
shown 1
side 1
similar 1
simply 1
sir 7
sister 1
skills 1
slipping 1
so 2
social 1
society 2
softens 1
some 1
someone 1
somewhat 1
somewhere 1
son 1
soon 1
spark 1
speak 1
speaks 1
spirit 1
spite 2
spot 1
spots 1
state 2
station 1
status 1
stay 1
staying 1
stays 1
steals 1
still 1
stops 1
story 3
stress 1
struggle 1
subject 2
submission 1
such 4
suggests 1
supposed 1
surgical 1
surname 2
surrounding 1
surroundings 1
suspicion 2
suspicions 1
sympathetic 1
system 2
taken 3
takes 1
taking 2
talk 2
taught 1
telephone 1
tell 1
tells 4
tends 1
term 1
test 1
than 3
that 27
the 102
their 3
them 1
there 3
these 3
they 1
thing 1
third 1
this 7
though 4
thought 1
threatens 1
through 1
time 2
titular 1
to 70
told 2
tolerated 1
too 1
toward 1
tries 1
trip 1
trowel 1
true 1
turned 3
turns 1
twists 1
two 1
typical 1
unassuming 1
unbeknownst 1
uncertain 1
unconvincing 1
under 1
underneath 1
uneventfully 1
unmanned 1
up 4
uprising 1
using 2
various 1
vigilantes 1
violent 1
visit 6
visits 1
was 3
watch 1
way 2
well 2
what 3
when 6
where 6
which 3
while 1
who 1
whose 3
will 2
willingly 1
win 1
wishes 1
with 13
without 1
won 1
worries 1
would 3
wounded 1
year 2
young 1
younger 2
