19048697
/m/04jnpz4
/m/04jnpz4
André Franquin
1996
also 1
and 3
antiholdup 1
away 1
be 1
birds 1
break 1
building 1
but 1
buttons 1
can 1
cause 1
causing 1
connected 1
consists 1
damage 1
divan 1
editorial 1
efficient 1
elasticated 1
english 1
fireworks 1
fly 1
for 3
gastomobile 1
heating 2
high 1
in 1
installed 1
iron 2
it 2
loose 1
lost 1
made 1
make 1
marbles 1
not 1
of 4
offices 1
on 1
petrol 2
pipes 1
plastic 1
radiocontrolled 1
robbers 1
rooftop 1
sight 1
slide 1
sofa 1
special 1
spirou 1
spreading 1
suddenly 1
system 4
tend 1
tends 1
that 1
the 4
to 5
unexpected 1
which 1
with 1
