13499718
/m/03c7b_0
/m/03c7b_0
Clayton Rawson
1942
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 8
an 1
and 8
apparitions 1
back 1
been 1
bey 1
biologist 1
blackmail 1
broken 1
bury 1
but 1
by 2
call 1
can 2
causes 1
characters 1
comes 1
conceal 1
could 1
country 1
daughter 1
dead 1
death 1
decides 2
detective 1
die 1
disinheriting 1
dry 1
dudley 4
else 1
end 1
estate 1
experimental 1
explain 2
fallen 1
falls 1
filled 1
finally 2
floor 1
foot 1
for 2
forces 2
former 1
friend 1
get 1
ghostly 2
great 2
gun 1
hand 1
hangerson 1
harte 2
has 2
haunt 1
have 1
he 3
help 1
her 1
him 2
his 5
huge 1
ice 1
identifies 1
identity 1
in 3
including 1
into 2
investigations 1
irascible 1
is 1
island 1
it 2
kathryn 3
life 1
little 1
long 1
lovewith 1
makes 1
man 2
manwho 1
married 1
means 1
medium 2
merlini 4
millionaire 1
most 1
murder 1
murderer 1
nature 1
newspaperman 1
no 1
not 1
number 1
obstacles 1
odd 1
of 7
one 1
other 1
out 1
path 1
photograph 1
possible 1
private 1
professional 1
put 1
romance 1
ross 2
second 1
shooting 1
should 1
situation 1
sound 1
spirit 1
stand 1
strikes 1
taken 1
that 2
the 12
thrown 1
tied 1
to 11
up 1
vase 1
when 1
where 1
who 2
why 1
wife 1
with 2
wolff 5
wont 1
works 1
zareh 1
