2189403
/m/06tlvm
/m/06tlvm
Gregory Benford

13 1
21st 1
a 5
about 2
across 1
actually 1
ageold 1
ages 1
ago 1
all 1
also 1
an 1
ancient 1
and 9
annihilation 1
another 1
appears 2
asteroids 1
astronomer 2
astronomers 2
at 2
away 1
be 4
because 1
become 1
been 1
being 3
benjamin 1
best 1
between 1
billion 1
billions 1
bizarre 1
black 4
born 1
brightest 1
british 1
burster 2
but 1
by 1
cancerstricken 1
century 1
chance 1
channing 1
chat 1
civilisations 1
considerable 1
converse 1
cosmic 1
dart 1
data 1
debris 1
demands 1
desires 1
detect 1
distance 1
distant 1
dub 1
early 1
earth 3
eater 1
engulfing 1
entity 3
eventually 3
existence 1
expanse 1
far 1
feeding 1
for 1
forward 1
from 2
gained 1
gammaray 1
given 1
great 1
had 3
hands 1
has 1
having 1
heading 1
his 1
hole 4
hours 1
humanity 1
humans 1
impossible 1
in 5
incredibly 1
intelligent 2
is 5
it 8
its 2
itself 2
kingsley 1
knowledge 1
knowlton 1
later 1
learn 1
learned 1
lifeform 1
light 1
many 2
message 1
minds 1
moving 2
must 1
nature 1
of 9
on 1
only 1
our 2
own 2
people 2
planets 1
prefers 1
process 1
projecting 1
protagonists 1
rather 1
realize 1
return 1
revealed 1
reveals 1
royal 1
save 1
second 1
seems 1
sends 1
sent 1
seven 1
share 1
solar 1
something 1
space 3
speed 1
star 1
stars 1
still 1
stranger 1
system 1
than 1
that 4
the 24
their 1
they 1
this 4
three 1
through 2
throughout 1
time 1
to 8
towards 1
troubling 1
under 1
universe 1
uploaded 1
us 1
various 1
wandering 1
way 2
what 1
which 1
wife 1
will 1
willing 1
with 1
would 1
years 3
