34115648
/m/0hq_w1y
/m/0hq_w1y
Farhat Ishtiaq
2008
4 1
a 14
aback 1
address 1
afford 1
ago 2
all 5
almost 1
also 2
although 1
and 32
anger 3
angry 1
apartment 1
app 2
are 4
arrival 1
as 3
ashar 17
ashars 1
at 9
attack 1
away 2
back 2
be 1
because 1
begins 1
best 2
better 2
between 1
biological 1
bitter 1
businessman 1
but 2
can 3
cant 1
cardiologists 1
care 1
child 2
circumstances 1
complete 1
concludes 1
confronts 1
confused 1
congenital 1
consent 1
contact 2
continues 1
could 1
court 1
cruel 1
current 1
dad 2
daughter 6
day 1
days 1
daze 1
decides 1
desk 1
development 1
differences 1
disease 1
distracted 1
dna 1
documents 1
does 2
door 1
each 3
eagerly 1
easily 1
efforts 1
even 2
ever 1
exclaims 1
expensive 1
extremely 3
face 1
falls 1
father 1
feet 1
files 1
filled 1
five 1
for 7
four 1
friend 1
friends 1
from 5
front 1
fruitless 1
furthermore 1
get 3
getting 1
girl 1
goes 1
going 1
grows 1
had 2
hain 2
half 1
hands 2
hareem 5
hareems 3
has 2
hate 2
have 1
he 14
hear 1
heart 3
heartbroken 1
her 18
him 11
his 8
home 1
hospital 1
however 1
hurled 1
hurt 1
hussain 1
hussains 1
if 1
immediate 1
in 10
including 1
informs 1
intensity 1
is 16
it 3
kept 1
khirad 14
khirads 1
later 1
lead 2
leaves 3
left 2
legal 2
life 1
little 1
live 1
lives 1
living 2
long 1
look 1
looking 1
love 1
married 2
meantime 1
medical 1
meeting 1
misunderstandings 1
moment 2
money 1
mother 3
my 2
needs 3
next 1
none 1
not 3
nothing 1
notice 1
novel 3
now 1
number 1
occurred 1
of 11
office 3
on 3
once 1
open 1
or 1
ordered 1
other 3
others 1
out 2
over 1
pain 1
papa 2
passionate 1
past 1
patient 1
phone 1
photo 1
picks 1
picture 2
place 1
possible 1
poverty 1
pregnant 1
presence 1
present 1
provide 1
provides 2
purpose 1
puts 1
reach 1
realizes 1
reasons 1
reflects 1
relationship 1
relative 1
rented 1
requires 1
resolve 1
rest 1
reveal 1
revealed 2
rich 1
right 1
said 1
sake 1
see 1
seen 1
separate 2
separated 1
shared 1
she 11
shock 1
sick 1
since 1
so 3
standing 1
start 1
still 1
stop 1
story 1
stronger 1
surgery 2
switches 1
take 1
taken 1
takes 1
test 1
than 1
that 16
the 32
their 3
them 2
then 1
they 4
things 1
threatens 1
time 1
to 17
together 1
tolerate 1
too 1
touching 1
towards 3
toy 3
treatment 2
turns 1
unable 1
unaware 1
understand 1
unknown 1
unusual 1
up 1
vain 1
visit 1
waiting 1
walay 1
walking 2
walks 1
was 2
weighs 1
weight 1
were 1
what 1
when 2
where 1
which 2
while 1
who 3
will 1
with 10
without 2
work 1
years 2
you 2
young 1
