20733244
/m/053wts6
/m/053wts6
Theodore Dreiser
1946
a 4
accidentally 1
affair 1
affluent 1
after 1
although 1
an 1
and 6
are 1
as 1
bank 2
barnes 1
benecia 2
both 1
cancer 1
career 1
chief 1
college 1
commits 1
contrary 1
corrupt 1
dates 1
dc 1
decides 1
dies 2
ethos 1
etta 4
eventually 2
examiner 1
executives 1
financial 1
friends 1
from 1
further 1
get 1
gets 1
go 1
greenwich 1
hannah 2
has 1
he 4
her 1
him 1
his 4
in 3
influence 1
is 2
isobel 1
jersey 1
kills 1
la 1
lives 1
maine 1
married 2
meanwhile 1
meets 1
moreover 1
move 1
moves 1
new 1
not 1
of 7
offspring 1
one 2
orville 1
out 1
over 1
painter 1
philadelphia 1
porte 1
practices 1
protagonist 1
quaker 2
quakers 1
repudiate 1
resigns 1
return 1
rufus 1
she 2
shortly 1
sister 1
solon 3
some 1
son 1
stewart 2
stop 1
suicide 1
summons 1
the 3
their 2
then 1
they 1
to 6
trenton 1
two 1
under 1
until 1
upbringing 1
upon 1
values 1
village 1
volida 1
wallin 1
washington 1
watches 1
west 1
where 2
while 1
widowed 1
wisconsin 1
with 1
works 2
