5412678
/m/0dkq_9
/m/0dkq_9
Charles R. Jackson
1944
{"/m/05hgj": "Novel"}
136 1
34i 1
34lost 1
34why 1
a 12
able 1
accident 1
admit 1
advises 1
again 2
alcoholic 2
alcoholics 1
alcoholism 1
alone 1
an 1
and 8
any 1
at 2
attempting 1
bad 1
banister 1
be 2
become 1
becomes 1
bed 1
begun 1
behavior 1
believe 1
besides 1
binge 2
birnam 3
bring 1
but 1
cabinet 1
can 2
cant 1
checked 1
contemplates 1
counselor 1
crawls 1
cure 1
death 1
did 1
do 2
does 1
don 1
dont 2
drink 1
drinker 1
drinking 2
drinks 1
enough 1
euphoria 1
even 1
explores 1
face 1
fancies 1
fear 1
feel 2
fellow 1
few 1
fiveday 1
for 1
foreign 1
from 2
fuss34 1
get 1
gets 1
girlfriend 1
go 1
got 2
has 2
haven3t 1
he 4
helen 2
helen3s 1
here 1
him 2
himself 2
his 4
how 1
however 1
if 1
in 2
incorruptible 1
into 4
is 1
isnt 1
it 4
just 1
keeping 1
key 1
killing 1
lapses 1
leave 1
licked 1
like 1
liquor 2
love 1
maid 1
make 1
manhattan 1
many 1
mdash 2
money 1
most 1
mostly 1
nature 1
neighborhood 1
neurotic34 1
no 1
novel 1
of 9
old 1
on 2
once 1
one 1
only 1
or 4
out 2
over 1
overconfident 1
pawn 1
perhaps 1
phrases 1
promising 1
purse 1
quotes 1
really 1
recover 1
rid 1
rundown 1
rye 1
same 1
see 1
selfless 1
set 1
shakespeare 1
smashing 1
so 1
sooner 1
start 1
state 1
steal 1
stop 2
stopping 1
story 1
such 2
sure 1
take 3
than 1
that 4
the 8
them 2
themselves 2
then 1
there 2
they 13
theyll 1
theyre 2
thing 1
think 1
this 1
time 1
to 12
tolerates 1
trying 1
two 1
typewriter 1
upbraid 1
want 2
ward 1
weekend34 1
well 1
wellbeing 1
whatever 1
when 1
while 1
who 1
with 1
woman 2
wondering 1
words 1
wouldbe 1
writer 1
you 1
