13133097
/m/02z80gz
/m/02z80gz
Patrick Lencioni

absence 1
according 1
accountabilityducking 1
ambiguity 1
and 1
are 1
artificial 1
avoidance 1
be 1
before 1
behaviour 1
book 1
buyin 1
call 1
commitmentfeigning 1
conflictseeking 1
constructive 1
counterproductive 1
creates 1
debate 1
decisions 1
dysfunctions 1
ego 1
fear 1
five 1
for 1
group 2
harmony 1
inattention 1
lack 1
low 1
of 4
on 2
organization 1
over 1
passionate 1
peers 1
personal 1
responsibility 1
resultsfocusing 1
sets 1
standards 1
status 1
success 2
team 1
the 5
throughout 1
to 4
trustunwilling 1
vulnerable 1
which 1
within 1
