3369317
/m/0981bt
/m/0981bt
Bernard Cornwell
1988-12
5th 1
a 3
acting 1
ally 1
along 1
an 1
and 2
appears 1
are 2
army 1
as 5
at 1
background 1
band 1
battalion 1
blas 1
book 1
brother 1
butcher 1
by 1
captain 2
cavalry 3
city 1
claymore 1
clumsy 1
company 1
compostela 1
core 1
corunna 1
count 1
cumbersome 2
cut 1
de 1
don 2
down 1
during 1
end 1
exploits 1
fighting 1
first 2
follows 1
foment 1
for 2
found 1
french 1
from 2
group 1
had 1
harper 1
he 4
heavy 2
his 1
hogan 1
in 7
india 2
introduced 1
irishman 1
is 3
less 1
major 1
mouromorto 1
murray 1
novel 1
of 6
on 1
other 1
patrick 1
people 1
rearguard 1
recounts 1
regular 1
retreat 1
riflemen 1
rifles 1
running 1
santiago 1
sees 1
series 1
sharpe 4
small 1
spanish 1
squadron 1
story 2
such 1
surviving 2
sword 3
than 1
the 19
then 1
they 2
this 1
time 3
to 4
try 1
uprising 1
used 1
very 1
vivar 1
well 1
which 1
who 1
wishes 1
with 1
yet 1
