949331
/m/03slvj
/m/03slvj
Tim Winton
1991-05
a 7
adopted 1
also 2
and 4
are 1
as 5
aspect 1
australian 1
be 1
by 3
celebratory 1
characters 1
citing 1
class 1
cloudstreet 2
concludes 1
continent 1
contrasts 1
death 1
demeaning 1
depending 1
die 1
disabled 2
each 2
effectively 1
ending 1
existence 1
families 3
family 1
fate 1
find 1
fish 3
fishs 1
flashback 1
flee 1
for 1
free 1
gives 1
god 2
gods 1
grace 1
great 1
his 2
house 1
however 1
important 1
in 7
incomplete 1
industry 1
initially 1
intellectually 1
interpreted 1
ironically 1
is 5
it 1
its 1
journey 1
joyous 1
lamb 3
lambs 2
leederville 1
life 1
lives 1
livings 1
long 1
luck 1
maker 1
many 1
may 1
meaning 2
minorities 1
miracles 1
most 1
narrated 1
novel 3
occasion 1
of 9
omniscient 1
on 1
opening 1
or 2
other 2
personal 1
perth 1
physical 1
pickles 2
picnic 1
piritual 1
position 1
precipitated 1
reading 1
resistant 1
restricting 1
retarded 1
return 1
rural 1
scene 1
search 1
seconds 1
separate 1
shadow 1
share 1
shared 1
shifty 1
social 1
somebody 1
soughtafter 1
state 1
structured 1
suburb 1
such 1
takes 1
the 20
their 3
this 1
though 1
tightly 1
to 6
towards 1
tragedies 1
treatment 1
two 3
uniting 1
voice 1
water 1
west 1
which 1
with 3
working 1
