1437896
/m/051j9_
/m/051j9_
Herman Wouk
1971-11-15
{"/m/098tmk": "War novel", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
13 1
140 1
141 1
165 1
a 31
aaron 2
able 1
academy 1
accepts 2
across 1
addition 1
admits 1
adolf 1
after 4
again 1
against 1
agree 1
ahead 1
alistair 1
all 2
alone 1
along 1
also 4
america 1
american 1
americans 2
amount 1
amounts 1
an 2
and 40
annual 1
appointed 1
approach 1
approaching 1
april 1
are 10
armin 2
army 1
armynavy 1
around 2
arriving 1
artillery 1
as 12
asia 1
asks 1
assigned 1
assignment 1
assistant 1
at 3
attache 2
attack 4
attempt 2
attend 1
attending 1
attention 2
author 1
automobile 1
aversion 1
awaiting 1
awakened 1
base 1
battle 1
battleship 1
be 2
beating 1
becomes 1
been 3
before 2
befriends 1
begin 2
begins 5
behaves 2
being 1
benito 1
berlin 2
best 1
book 3
borderline 1
bremen 1
british 1
broadcast 1
burning 1
bush 1
but 6
by 7
byron 11
california 2
cant 1
career 1
catches 1
changed 1
character 1
characters 2
child 2
children 1
churchill 1
citizens 2
cliffhanger 1
close 2
columbia 1
coming 1
command 3
commander 1
commission 1
committed 1
commodore 1
communists 1
concludes 1
confidant 1
confiscate 1
congressman 1
connected 1
continue 1
counterpoint 1
countries 1
cowardly 1
crimes 1
cruiser 1
cultural 1
damaged 1
daughter 3
decide 1
delano 1
delays 1
denmark 1
department 1
desired 1
devotes 1
dies 1
discover 1
discovering 1
discrimination 1
discussed 1
divorce 1
drawn 1
draws 1
due 1
during 3
each 1
eagerly 1
early 1
ears 1
encounter 1
encounters 1
ends 1
enemies 1
engineer 1
english 1
enjoyed 1
enterprise 1
enters 2
escape 1
europe 4
european 1
evacuate 1
evacuated 1
even 1
events 2
excerpts 1
expatriate 1
experience 1
extended 1
extension 1
eyes 1
family 3
fascists 1
fashion 1
father 2
festival 1
fiance 1
fictional 2
finally 2
fire 1
first 1
flee 1
flies 1
flight 2
florida 1
football 1
for 11
franklin 1
friends 1
from 8
game 1
general 2
german 10
germans 3
germany 2
getting 1
give 1
given 1
go 1
going 1
government 2
graduate 2
graduated 1
grobke 1
harbor 4
has 7
have 1
having 1
he 9
head 1
hearing 1
heart 2
henry 5
her 9
heroically 2
herself 1
him 2
himself 1
his 15
hitler 1
holding 1
horse 1
ill 1
in 24
including 1
increasing 2
infant 1
injured 1
inserting 1
intent 1
into 2
invade 2
invaders 1
invading 1
invasion 3
involved 1
is 15
issues 1
it 1
italy 1
janice 1
january 1
jastrow 2
jesus 1
jew 1
jewish 2
jews 1
job 2
joseph 1
killed 1
kirby 1
known 1
lacouture 1
later 4
launched 1
leads 1
leave 2
leaves 1
left 1
lendlease 1
leslie 3
lines 2
listening 1
lives 1
london 1
lord 1
louis 1
love 1
luftwaffe 1
made 1
madeline 1
makes 1
manhattan 1
manila 1
many 2
marriage 2
married 1
marries 1
mean 1
medzice 2
meet 1
meets 3
message 1
met 1
middle 1
middleaged 1
mixed 1
mixture 1
months 1
morning 1
mortal 1
moscow 2
most 1
movie 1
much 1
mussolini 1
named 2
natalie 8
native 1
naval 4
navy 2
nazis 1
nazisoviet 1
neutral 1
next 1
niece 1
night 1
nonaggression 1
northampton 1
norway 1
not 2
notes 1
now 1
observed 1
obtained 1
occasionally 1
occurs 1
of 29
offers 1
officer 3
older 1
on 4
one 2
only 1
opera 1
opportunity 1
other 2
out 1
outlook 1
outofaction 1
over 2
own 3
pact 2
palmer 2
pamela 3
paris 1
part 1
pearl 4
pensacola 1
personality 1
phase 1
place 1
platonic 1
poet 1
point 1
poland 5
polish 2
portion 1
predicting 1
pregnant 1
president 3
prior 1
prison 1
project 1
prominent 1
promptly 1
proposal 2
provides 1
public 1
pug 9
quite 1
radio 3
reader 1
readers 1
real 1
realizes 1
realizing 1
receive 1
receives 1
receiving 1
recognizes 1
refugees 1
relationship 2
reluctant 1
remembrance 1
repeatedly 1
report 2
request 1
research 1
reserve 1
retired 1
retracts 1
returns 1
revolves 1
rhoda 4
romantic 2
rome 1
roon 4
roosevelt 2
safely 1
saving 1
school 1
sea 1
see 1
separate 1
she 9
ships 1
shortly 1
side 1
siege 1
siena 2
six 1
slote 2
soldiers 2
some 2
son 3
soon 2
soontobe 1
soviet 1
soviets 1
spend 1
spends 2
ss 1
stalin 1
stampeding 1
stands 1
state 1
statements 1
states 3
story 6
storylines 1
strafed 1
stranded 1
submarine 2
submits 1
supervisor 1
sworn 1
takes 1
talky 1
text 2
than 1
that 7
the 77
their 3
them 1
then 1
these 1
they 8
this 4
though 2
three 2
through 3
time 4
to 32
together 2
town 2
trained 1
trampled 1
translates 1
trapped 1
travel 3
tudsbury 2
uncle 2
under 2
union 1
united 3
university 1
unofficial 1
up 1
upon 2
uss 4
version 2
very 1
victor 4
viewpoint 1
visit 1
volume 1
von 4
voyage 1
war 10
warren 3
warsaw 3
was 1
way 3
wedding 2
well 1
when 5
where 1
which 3
while 1
who 6
whom 1
widowed 1
wife 2
will 2
winston 1
with 9
witnesses 1
word 1
work 1
works 1
worsening 1
would 1
written 2
years 1
younger 2
