5519382
/m/0dqmlp
/m/0dqmlp
William Faulkner
1927
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/01z4y": "Comedy"}
a 25
abilities 1
able 1
about 4
accompanied 1
accounted 1
activities 2
activity 1
advances 2
aforementioned 1
after 2
again 3
agreeing 1
all 2
almost 1
also 1
always 1
among 3
an 4
and 46
another 2
any 2
apartment 4
apparently 1
are 4
argument 1
arms 1
around 2
art 5
artist 2
artistic 4
artists 2
as 13
at 5
attend 1
attendance 1
attends 1
attraction 2
aura 1
away 1
ayers 1
back 4
backseat 1
be 1
becomes 3
bed 1
begin 1
beginning 1
begins 1
behind 1
better 1
between 5
big 1
bizarre 1
boat 13
boating 1
book 1
both 1
bottle 1
boy 1
brief 2
brings 1
brought 2
but 6
by 8
call 1
can 1
case 1
cast 1
chance 1
change 1
changes 1
chapter 4
characters 8
charged 1
chatty 1
child 1
chisels 1
chronological 1
city 1
claim 1
clay 1
cliffhanger 1
closed 1
come 1
comes 3
community 1
conclude 1
concludes 1
continually 1
continue 3
conversation 1
conversations 3
course 1
cuts 1
dancing 1
david 8
davids 1
dawson 1
day 8
debate 1
decide 1
declines 1
dedicated 1
defined 1
dehydrated 1
departed 1
destination 1
develop 1
development 1
diametrically 1
digestive 1
dinner 1
disappointment 1
discussing 1
discussion 2
display 1
distant 1
distressed 1
diverge 1
diverse 1
dominant 1
doors 1
drinking 2
drinks 1
during 1
each 1
eating 1
elope 1
em 2
encounter 1
end 2
endless 1
ends 4
engaged 1
engages 1
ensue 1
epilogue 1
ernest 1
especially 1
even 1
evening 1
eventually 2
everpresent 1
every 1
everyone 2
everything 1
evident 3
evidently 1
excitement 1
exclusively 1
excursion 1
exploits 1
explorations 1
explore 1
extends 1
fact 1
failing 1
fairchild 6
fall 1
families 1
fawn 1
feelings 1
female 1
finally 1
find 1
first 3
focuses 1
follow 1
following 1
follows 3
for 8
forth 1
fostered 1
foundation 1
fourth 1
free 1
frees 1
friend 1
from 6
frost 2
further 1
gaze 3
get 3
girl 2
given 1
go 1
goes 1
gone 2
gordon 12
gordons 1
gossiping 1
growing 1
grows 1
guests 3
hardly 1
has 6
have 1
he 11
heard 1
her 13
him 6
himself 1
hinted 1
his 10
holds 1
home 1
hosted 1
hostess 1
how 1
however 1
idealistic 1
in 32
including 1
indifferently 1
individual 1
ineptitude 1
instance 1
intelligence 1
intended 1
intently 1
interaction 1
interactions 4
interest 2
interested 1
intimate 1
into 3
introduce 1
invention 1
is 20
it 6
jameson 1
jamesons 1
jenny 7
jennys 1
job 1
join 2
joins 1
joy 1
julius 4
kaufmann 1
kisses 1
know 1
known 1
knows 1
land 1
largely 2
last 2
lay 1
lays 1
leads 1
leave 2
leaving 1
lies 1
life 1
like 1
likeness 1
lives 1
loneliness 1
loose 1
love 2
main 2
maintains 1
major 1
make 1
makes 1
male 2
man 2
mandeville 1
manner 1
many 1
marble 1
mark 2
marooned 3
maurer 1
maurier 9
meet 1
meeting 1
meets 1
men 4
mentions 1
merits 1
midnight 2
milk 1
mind 1
minor 1
mirrored 1
misguided 1
molded 1
more 2
mosquitoes 1
most 1
mr 4
mrs 16
much 1
multifaceted 1
name 1
named 1
nausikaa 1
nausikaas 1
nervous 1
new 1
niece 1
no 1
nonartists 1
normal 1
not 1
notable 1
novel 2
now 3
nude 1
obsession 1
odds 1
of 35
off 1
offer 2
offers 1
on 15
once 1
one 6
onesided 1
only 3
onto 2
openly 1
opens 3
operator 1
opposed 1
or 1
orleans 1
other 3
out 1
over 4
own 1
pairs 1
participating 1
passages 1
passengers 3
pat 11
path 1
paths 1
personally 1
pete 2
place 3
planned 1
play 1
plot 1
present 1
prior 2
production 1
propose 1
provides 1
pull 1
pursuit 1
question 1
quick 1
quickly 1
realize 1
reciprocal 1
regarding 1
relationship 2
release 1
representing 1
reprieve 1
reserved 1
rest 2
result 1
return 7
returning 1
returns 1
revealed 1
reveals 1
revelation 1
role 1
room 4
rooms 1
rough 1
salts 1
same 1
sarcastically 1
says 1
scenes 1
sculptor 2
sculpture 1
second 3
section 2
seem 1
seemingly 1
serve 1
set 2
sexual 4
sexuality 1
sexually 1
share 2
shares 1
she 4
shifted 1
ship 1
sights 1
similar 1
similarly 1
sitting 1
sobbing 1
soon 1
spanking 1
speaks 1
spends 1
split 1
stage 1
steward 1
still 1
story 1
storys 1
stranded 1
streamofconsciousness 1
strong 1
struggle 2
subjects 1
successful 1
sudden 1
survival 1
swamp 2
swim 2
take 1
takes 1
talking 2
talliaferro 9
talliaferros 2
tell 1
tension 1
tensions 1
than 1
that 20
the 111
their 8
them 1
themes 2
thereafter 1
these 2
they 6
thinks 2
third 2
this 2
though 3
thoughts 1
through 4
throughout 1
tired 1
to 35
together 2
too 1
took 1
town 1
treat 1
trick 1
tries 1
trip 5
trudge 1
try 1
tugboat 1
two 3
tying 1
typify 1
typologically 1
uncontrollable 1
unimaginative 1
uninterested 1
unnoticed 1
unreciprocated 1
unrequited 1
up 1
upcoming 1
upon 2
vanished 1
victim 1
visit 1
visits 1
wake 1
watches 1
watching 1
way 2
wealthy 1
welcomes 1
well 1
west 2
what 1
when 2
where 3
which 2
while 2
whisky 1
who 4
whom 1
wiseman 3
wisemans 1
with 15
women 6
worked 1
working 1
works 1
yacht 4
yachting 2
yet 1
you 1
young 2
youthful 1
youths 1
