24162
/m/060xy
/m/060xy
Jane Austen
1813-01-28
{"/m/06nbt": "Satire", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 19
abominable 1
about 1
abruptly 1
absent 1
accepts 2
account 1
acknowledge 1
acquaintance 2
actions 1
adds 1
after 1
again 2
against 1
also 1
among 1
amused 1
an 3
and 37
angrily 1
apparent 2
appearing 1
are 3
arrives 2
as 2
assertions 1
at 5
attachment 2
attempted 1
attend 1
attention 1
attracted 1
attraction 2
aunt 2
aware 1
away 2
bachelor 1
ball 2
be 1
because 1
becomes 4
been 3
begins 2
behaviour 1
believing 1
bennet 4
bennets 1
bingley 12
bourgh 3
budding 1
bursts 1
but 2
by 9
came 1
capture 1
cash 1
catches 1
catherine 4
caught 1
changed 1
charges 1
charlotte 2
charming 1
choose 1
civility 1
claimed 1
claims 1
clergy 1
clergyman 1
close 1
coincidentally 1
cold 1
collins 5
colonel 1
come 1
company 1
condescending 1
conducted 1
conspired 1
contrast 1
conversation 1
convinced 1
couple 1
cousin 1
cousins 1
cut 1
dancing 1
darcy 21
day 1
days 1
de 3
decorum 1
demands 1
despite 2
destroying 1
detests 1
discussion 1
disgrace 1
disgracefully 1
disgusted 1
dislike 1
display 1
distress 1
does 1
downpour 1
drops 1
due 1
dwell 1
each 1
elder 1
elizabeth 28
elope 2
employer 1
end 1
engaged 1
estate 1
exception 1
exchanged 1
expectation 1
expense 1
explained 1
family 2
father 1
favorable 1
feeling 2
few 1
finding 1
finds 1
first 1
fitzwilliam 1
following 1
follows 1
for 7
forced 1
forfeited 1
formed 1
forms 1
fortune 1
found 1
frequent 1
frequently 1
friend 2
from 4
fuel 1
further 1
gambling 1
gardiner 1
gardiners 2
general 1
given 1
giving 1
good 1
gracious 1
great 2
grieves 1
had 2
happiness 1
has 4
have 4
having 2
he 9
heated 1
heavy 1
her 15
him 6
himself 3
his 10
home 1
homely 1
hope 1
hosts 1
however 3
immediately 1
impetuously 1
impression 1
in 9
inform 1
inheritance 1
intending 1
interest 1
into 2
introduces 1
invited 1
is 11
it 3
jane 9
jokes 1
just 1
kent 1
lady 4
later 3
learned 1
leaves 1
legacies 1
lends 1
less 1
lets 1
letter 1
light 1
local 1
london 1
longbourn 5
lydia 3
make 1
makes 1
manner 1
manners 1
marriage 1
marriageat 1
married 1
marry 1
marrying 1
may 1
militia 1
mistreated 1
money 1
months 1
morning 1
most 1
mother 1
moving 1
mr 32
much 3
narrative 1
nature 1
negotiating 1
neighbourhood 1
nephew 1
netherfield 4
news 1
no 1
noble 1
not 2
now 1
nurse 1
obsequious 1
observed 1
of 14
officer 1
on 5
only 1
opens 1
opinion 1
other 1
out 2
overhears 1
park 2
particular 1
partly 1
paying 1
payment 1
pays 1
pedantic 1
pemberley 1
perceive 1
poor 1
proceed 1
promptly 1
proposal 1
proposes 3
prospects 1
proud 2
public 1
quits 1
reacquaintance 1
realise 1
rebukes 1
received 1
reciprocal 1
reclaim 1
recovers 1
refuses 2
regarding 1
renewed 1
resentment 1
responds 1
responsible 1
return 3
returns 2
role 1
rosings 1
rumour 1
run 1
same 1
selfimportant 1
separate 1
separating 1
seriously 1
several 1
she 3
shocked 2
short 1
singled 1
singles 1
sister 9
sisters 1
slights 1
slip 1
social 1
some 1
soon 4
spring 1
stay 1
subsequent 1
surprised 1
tale 1
that 10
the 20
their 2
then 2
thereby 1
they 3
this 4
though 1
thrown 1
thwart 1
time 1
to 39
too 1
topic 1
towards 1
travels 1
treating 1
treats 1
truth 1
ultimately 1
uncle 1
unexpectedly 1
ungentlemanlike 1
veneration 1
very 1
visit 5
visits 1
ward 1
warns 1
was 1
wealthy 1
welcoming 1
well 2
where 2
while 1
who 5
wickham 6
wife 1
will 3
with 13
woman 1
young 2
