30510037
/m/0g9yn1_
/m/0g9yn1_
Anzia Yezierska
1920
{"/m/0707q": "Short story"}
22 1
a 17
about 1
against 1
america 2
and 5
appearance 1
as 2
at 2
beautifulness 1
because 1
being 1
brethren 1
building 1
but 4
by 2
catch 1
class 1
conditions 1
couple 1
cruel 2
crushed 1
dances 1
denied 1
diploma 1
divisions 1
dream 1
due 1
edge 1
expecting 1
factory 1
falls 2
fat 1
find 1
finding 1
finds 3
for 1
forever 1
found 1
free 2
from 2
gets 1
girl 1
given 1
goes 1
going 1
grinding 1
grueling 1
happiness 1
happy 1
hardship 1
has 1
he 1
her 12
herself 1
him 1
home 1
hope 1
house 2
how 1
humiliating 1
hunger 1
i 1
in 6
inspiration 1
into 1
is 3
janitress 1
jewish 1
job 1
kitchen 1
land 1
landlord 1
life 3
lifestyles 1
lives 1
living 2
loneliness 1
lonely 1
lost 1
love 3
lovers 1
making 1
marking 1
meets 1
military 1
miracle 1
mother 2
motherhood 1
moves 1
my 1
of 6
offered 1
on 1
one 1
only 1
own 1
painfully 1
paints 1
people 2
peshah 2
poverty 5
purpose 1
raised 1
rebel 1
rent 1
response 1
returning 1
school 1
secluded 1
selfdestruction 1
separate 1
separates 1
sequel 1
she 3
shenah 1
shirtwaist 1
soap 1
sociologist 1
son 1
stay 1
strict 1
student 1
study 1
suffering 1
supporting 1
than 1
the 12
their 1
them 1
to 7
travels 1
unsightly 1
vacation 2
water 1
wealth 1
when 2
where 2
white 1
who 1
wings 2
with 2
woman 1
workers 1
worse 1
writer 1
writes 1
young 3
