1779171
/m/05w7f0
/m/05w7f0
Jean Genet
1948
a 5
accompany 1
act 1
acts 1
all 1
amuse 1
an 2
and 7
appeal 1
are 2
arrested 1
as 2
assist 1
attic 1
been 1
betrayal 1
brings 1
called 2
canonised 1
cemetery 1
character 1
daintyfoot 1
darling 2
day 1
death 1
died 1
divine 2
drag 1
dubbed 1
ecstasy 1
epic 1
erotic 1
eventually 1
every 1
executed 1
explicitly 1
flowers 1
genet 1
has 1
he 2
highest 1
highly 1
himself 1
his 2
home 1
hoodlum 1
important 1
in 2
is 3
it 1
jeanpaul 1
lady 2
lives 1
lovers 1
mainly 1
making 1
masturbation 2
montmartre 1
moral 1
most 1
murder 1
murderer 1
narrator 1
novel 2
of 8
often 1
one 1
opens 1
our 2
overlooking 1
passes 1
performs 1
pimp 1
prison 1
queen 1
result 1
room 1
sartre 1
sentence 1
sexual 2
shares 1
she 1
spun 1
stories 2
story 1
telling 1
tells 2
that 1
the 11
to 2
transvaluation 1
tried 1
tuberculosis 1
us 1
value 1
values 1
various 1
virtue 1
when 1
which 1
whilst 1
who 1
whom 1
with 1
young 1
