4174672
/m/0bn5jt
/m/0bn5jt
Darren Shan

a 23
able 1
about 2
abrams 1
accidentally 1
across 1
afraid 1
after 1
again 1
alice 1
alive 2
all 4
along 1
also 4
altar 1
although 1
an 3
anagram 1
and 37
answer 1
any 1
apparently 2
appearance 1
appears 2
approval 1
are 13
area 1
army 1
around 2
arrive 2
arrivesand 1
as 6
asks 1
at 5
attacked 2
attempts 1
away 1
back 3
backs 1
barren 1
be 6
bearded 1
because 1
become 2
been 1
before 1
being 2
biggest 1
black 1
bombs 1
both 1
bothered 1
bottles 1
breaking 1
breathes 1
briefly 1
brought 1
burgess 1
burning 1
but 5
by 7
called 2
calls 1
cannibal 1
cannot 1
cant 1
carried 1
chanting 1
chief 3
cirque 1
close 1
closer 2
collect 1
combat 1
complete 1
completely 1
congratulate 1
containing 1
could 1
covered 1
crashing 1
created 1
creature 1
crew 1
crocodiles 1
cry 1
cuts 1
dark 1
darren 22
date 1
dated 1
dawn 1
debbie 1
decide 2
decided 1
decides 1
devil 1
did 1
diffucult 1
dismay 1
dismisses 1
do 2
does 3
down 1
dragon 2
dragons 3
drinker 1
drive 1
driven 1
drives 1
drunken 1
du 1
edge 1
eight 2
either 1
end 1
enter 1
evanna 2
eventually 2
explain 1
explaining 1
explodes 1
explosive 1
extra 2
falls 1
fangs 1
feed 1
feeding 1
feels 1
fell 1
few 2
fifty 1
figure 1
filled 1
filling 1
finally 1
find 3
finds 1
fire 1
first 2
floorboards 2
following 1
for 2
forbidding 1
forced 1
former 2
freak 1
free 1
freezes 1
fridge 1
fridges 1
friend 1
from 3
front 1
future 1
gelatinous 2
gesturing 1
get 4
give 1
globes 3
go 3
god 1
grab 1
gray 1
grotesque 9
had 2
harkat 32
have 6
he 19
heavy 1
help 2
helps 1
hemlock 1
her 1
here 1
highly 1
him 10
himself 1
his 7
holy 2
how 3
huge 1
hunt 1
hurting 1
hut 1
identity 1
if 2
in 9
inside 1
into 3
is 15
it 13
joins 1
juggling 1
just 1
keeps 1
kill 1
killers 1
knife 1
knocked 1
kulashka 1
kulashkas 5
kurda 6
lady 3
lake 12
land 1
language 1
later 2
leave 2
let 1
letters 2
liquid 3
little 1
lived 1
living 1
lord 1
loved 1
loves 1
make 1
makes 1
man 1
many 2
map 1
marked 1
matter 1
meals 1
meddle 1
meet 2
memories 2
mentioned 1
metre 1
metres 1
middle 1
might 2
more 2
mr 9
much 2
mulds 1
must 2
mysterious 1
name 2
nearby 1
next 1
night 1
nightmares 1
no 1
nonunderstandable 1
not 7
noting 1
numb 1
o 1
of 18
off 3
on 6
one 2
only 2
or 2
other 1
out 2
own 1
panther 3
pariah 1
people 3
persistently 1
person 2
pirate 1
place 1
plans 1
pointing 2
police 1
portal 2
possess 1
postcards 3
prince 1
princes 1
protect 1
pulls 1
put 1
quotes 1
raises 1
reach 3
reaches 1
reads 2
realizes 1
rearranges 1
rearranging 1
reason 1
reasons 1
refuses 1
remain 1
remaining 1
remove 1
removes 1
required 1
resulting 1
return 1
returned 1
revealed 1
revealing 2
reveals 1
right 1
room 2
ruler 1
run 1
running 1
rush 1
ruthless 1
ruthlessly 1
same 1
saying 4
says 2
scars 1
see 2
seen 2
sees 1
selecting 1
sent 1
serve 1
shadows 1
sharp 1
she 3
ship 1
shocked 1
should 2
signed 1
since 3
slam 1
smahlt 2
small 1
so 3
someone 1
soon 3
soul 1
souls 4
speak 1
spears 1
spell 2
spent 1
spits 10
standing 1
start 2
starts 6
stay 1
steal 2
steve 1
stomping 1
stop 1
stops 1
strange 1
surrounded 1
survive 1
take 1
takes 2
taking 1
talking 1
tasks 2
teeth 6
tell 1
tells 2
than 2
that 23
the 82
them 11
then 11
theory 1
there 5
they 23
thirty 1
those 1
through 5
throwing 1
thrown 1
throws 1
time 5
tiny 9
to 42
toad 2
told 3
truska 1
trust 1
trying 2
tunnel 1
twelve 1
twenty 1
two 2
underneath 1
understand 1
unexpected 1
unless 1
until 1
up 5
used 1
useful 1
using 1
utter 1
vampets 1
vampire 1
venom 3
very 1
vial 3
vials 3
village 1
visited 1
walk 2
want 1
wanted 1
wants 1
war 1
was 8
waste 1
what 1
when 2
where 1
which 4
while 3
whiskey 1
who 5
why 2
will 1
wins 1
wish 1
with 15
word 1
world 4
would 3
ye 1
years 1
zip 1
zone 1
