17125741
/m/043skqd
/m/043skqd
Janet Evanovich
2008
a 28
abilities 1
accident 1
across 1
act 1
after 5
agrees 1
aka 1
all 1
alleges 1
along 2
already 1
also 1
an 2
and 32
anger 1
announces 1
apartment 2
appear 1
apprehends 1
apprehension 1
arrive 1
arrives 2
as 5
assorted 1
at 6
attacked 1
augmentation 1
aware 2
away 2
back 1
bailed 1
bank 1
basement 4
be 2
because 1
bed 1
been 6
begins 1
begun 1
being 1
bill 1
body 1
bonded 1
bountyhunter 1
boyfriend 1
breakins 1
breaks 1
breast 1
brenda 10
brother 1
buried 2
but 8
by 7
calls 2
camera 4
can 1
care 1
caused 1
causes 1
causing 1
chaos 1
cher 1
claims 1
classmate 2
clue 1
collateral 1
collect 1
come 1
comes 1
coming 1
concrete 1
confront 1
contacted 1
contacts 2
containing 1
convicted 1
corpse 1
court 1
cousin 1
cousinstalker 1
crash 1
crew 1
cut 1
day 2
dead 2
deal 1
deception 1
decides 1
decorating 1
deli 2
destroying 1
died 1
disable 2
discovers 2
discovery 1
distant 1
do 1
doesnt 1
dollars 1
dom 10
duplicate 1
during 1
effectively 1
either 1
ends 1
engagement 1
enough 1
enraged 1
escaping 1
events 2
eventually 1
everyone 2
explains 2
explode 1
explosion 2
exstoner 1
failure 1
fake 1
famous 1
father 2
feed 1
figuring 1
finds 1
finished 1
floor 1
flying 2
followed 1
footing 1
for 7
fourth 3
freak 1
frequenting 1
friend 1
from 3
frozen 1
fta 1
gary 6
get 2
gets 2
gives 1
go 1
goes 2
gone 1
got 1
graffiti 1
grandma 1
guns 1
guy 1
had 3
hand 3
has 8
have 3
he 9
hears 1
help 1
her 9
hidden 1
hides 1
him 6
his 7
history 1
hit 1
homemade 1
hours 1
house 7
how 1
however 1
hung 1
identity 1
if 1
in 15
inheriting 1
intact 1
into 2
investigate 1
investigative 1
is 18
issues 1
it 2
its 1
jelly 2
jersey 1
job 1
joe 1
just 1
kantner 1
keep 2
kidnapped 1
kidnapper 5
kill 2
killing 1
known 1
knows 1
lab 1
learn 1
leaving 1
lightning 1
like 1
local 1
locate 1
location 2
longer 1
looking 1
loretta 12
lula 2
lurk 1
madonna 1
makes 2
man 2
managed 1
mario 4
mazur 1
meanwhile 1
men 2
merry 1
might 1
million 1
minionfire 2
money 8
monkey 1
moondog 1
mooner 6
more 1
morelli 18
most 1
mother 1
mounted 1
needs 1
neighborhood 1
nephew 1
never 2
new 1
news 1
next 1
nine 1
no 3
noon 1
not 1
now 2
obliges 1
obsessed 1
of 16
old 1
on 3
one 1
onename 1
only 2
or 2
other 3
out 3
package 1
parents 1
partner 4
partners 2
past 1
pays 1
pet 1
peta 1
pinky 1
pizza 1
player 1
playing 1
plum 1
police 2
policeman 1
potato 2
poured 1
pregnant 1
prepare 1
prison 1
problem 1
prophecy 1
protect 2
protesters 1
protesting 1
psychic 1
purportedly 1
pursue 1
quickly 1
ranger 4
real 1
reality 2
realize 2
receives 1
recognizes 2
refuses 1
relatives 1
release 1
reluctantly 1
repeated 1
reporter 1
responsible 1
retrieved 1
revealed 1
revealing 1
right 1
rizzi 1
robbery 5
security 3
see 1
sending 1
sends 1
serious 1
severed 1
she 10
shoots 1
shovels 1
show 2
showing 1
sign 1
since 1
singer 1
slept 1
so 3
some 2
son 2
stalker 1
stall 1
stanley 1
start 1
stay 1
staying 2
stephanie 24
stolen 2
story 1
street 1
struck 1
suggests 1
survive 1
take 3
takes 1
talks 1
tank 1
tech 1
technician 1
teenager 1
television 1
tells 1
term 1
that 15
the 53
their 1
them 2
then 4
therefore 1
theyre 1
theyve 1
this 1
threatens 1
three 1
through 1
tired 1
to 38
toe 1
toes 1
town 1
trade 1
treasurediggers 1
treasurehunters 1
tries 2
true 1
trying 2
turn 1
tv 1
two 2
under 1
unfortunately 1
uninjured 1
unknown 1
unless 1
until 2
up 1
upsets 1
using 1
van 4
voice 1
wants 2
was 3
watching 1
when 2
which 5
who 8
whod 1
will 2
willing 1
windshield 1
with 14
within 1
women 1
working 1
would 1
yard 2
zero 1
zook 6
