561007
/m/02q48m
/m/02q48m
William Shakespeare
1593

a 1
accident 1
adonis 3
after 1
although 1
and 3
as 2
backward 1
be 3
bold 1
breatheth 1
cares 1
contains 1
depiction 1
excitement 1
face 1
find 1
for 2
go 1
graphic 1
he 2
her 2
him 3
his 1
hunting 3
in 3
intercourse 1
interested 1
is 5
killed 1
kiss 1
lies 1
may 1
most 1
next 1
not 2
of 2
on 1
only 1
our 1
palm 1
panting 1
part 1
persuades 1
play 1
poem 1
preparing 1
purposes 1
pushd 1
seizeth 1
sexual 2
shakespeare 1
she 3
sight 1
soon 1
sport 1
sweating 1
tells 1
that 1
the 1
they 1
thinking 1
thrust 1
to 3
too 1
venus 2
very 1
we 1
what 1
while 1
would 1
young 1
