28832041
/m/0dd9dw7
/m/0dd9dw7
John Grisham
2010
a 5
acquittal 1
almost 2
amongst 1
an 1
and 7
animal 1
as 1
attention 1
biggest 1
boone 3
but 1
case 1
chance 1
charged 1
child 1
classmates 1
confident 1
conviction 1
court 1
created 1
criminal 2
daytoday 1
defendant 2
direct 1
dog 1
drew 1
duffy 1
evidence 1
extremely 1
firm 1
for 4
from 1
get 1
going 1
good 1
grew 1
guilty 1
has 1
have 1
he 3
his 2
husband 1
in 2
indeed 1
is 3
it 1
judge 1
knows 1
lack 1
largely 1
last 1
law 1
lawyers 1
legal 2
like 1
lot 1
make 1
most 1
murder 1
murdering 1
of 5
on 1
only 1
parents 1
people 1
perfect 1
pete 1
pound 1
problem 1
problems 1
prosecution 1
prosecutor 1
protagonist 1
raised 1
reputation 1
rescuing 1
salvage 1
sector 1
seemed 1
sexyy 1
so 1
solving 1
speakingterms 1
strattenburg 1
suspected 1
team 1
that 1
the 16
their 1
theodore 2
things 1
to 1
town 1
township 1
trial 1
two 1
up 2
via 1
was 3
well 1
were 1
while 1
who 2
wife 2
with 4
