23974709
/m/076xmkr
/m/076xmkr
Jeanne Kalogridis
2003-10
{"/m/06n90": "Science Fiction"}
a 9
aboard 2
above 1
abruptly 1
again 1
alien 1
an 3
anatomically 1
and 10
appears 1
archer 4
are 1
area 1
as 3
attack 2
attackers 1
battle 1
be 1
before 2
believe 1
biggest 1
blast 1
blazing 1
bloodthirsty 1
blotted 1
bodieswhile 1
bridge 1
but 2
by 1
called 2
can 1
captain 1
career 1
challenge 1
claims 1
clue 1
cold 1
command 1
continue 1
convince 1
council 1
crashes 1
crater 1
crew 2
crews 2
crisis 1
cuba 1
dangerous 1
deadly 1
destroy 1
destruction 3
die 1
do 1
driven 1
earth 4
emerged 1
encountered 1
enemies 1
enter 1
enterprise 4
ever 1
expanse 2
exploration 1
expose 1
exposed 1
face 1
faces 1
facetoface 1
far 1
finds 1
florida 1
from 5
future 1
go 1
greatest 1
has 2
he 5
heard 1
her 1
high 2
highranking 1
him 1
himself 1
his 5
home 2
hopes 1
horrific 1
humanoid 2
implodes 1
in 6
individual 1
instant 1
internal 1
inverted 1
is 3
it 3
its 3
jonathan 1
just 2
kidnaped 1
klingon 1
known 1
leads 1
learns 1
leaving 1
let 1
lived 1
lives 1
lost 1
madness 1
many 1
master 2
mileswide 1
millions 1
millisecond 1
mission 1
must 1
mysterious 1
nemesis 1
never 1
next 1
no 2
of 7
old 1
on 2
only 1
organs 1
origin 1
out 1
outside 1
perils 1
planet 3
planetunless 1
probe 2
provide 1
provoked 1
reaches 1
region 1
releases 1
remnants 1
saving 1
ship 3
should 1
silik 3
smoldering 1
so 2
space 2
starfleet 1
starship 1
still 1
stop 1
strafes 1
suliban 1
surface 2
swiftly 1
temporal 1
test 1
that 3
the 21
their 3
them 1
they 2
timetraveling 2
to 8
uncertain 1
unscathed 1
unspeakably 1
venezuela 1
vessel 1
vessels 1
vulcan 2
wake 1
war 1
was 1
were 3
what 1
whether 1
who 1
will 2
with 1
