1985726
/m/06b_mp
/m/06b_mp
Christopher Moore
1995-09-19
a 6
adjust 1
aided 1
also 1
an 1
and 6
animals 1
as 3
at 1
attacked 2
attracted 1
be 1
become 2
begin 1
bottom 1
bowler 1
by 2
c 1
champion 1
clerk 1
coworkers 1
discover 1
each 1
eccentric 1
emperor 1
engage 1
finds 1
flood 1
francisco 1
get 1
help 1
her 1
herself 1
in 1
is 1
jody 3
just 1
known 1
life 1
lifestyle 1
living 1
local 1
matter 1
may 1
moved 1
murders 1
mysterious 1
new 1
night 1
nocturnal 1
of 4
one 1
other 1
person 1
recent 1
redheaded 1
safeway 1
san 1
she 2
single 1
soon 1
street 1
string 1
that 2
the 7
their 1
they 2
thomas 1
to 6
together 1
tommy 3
town 1
trying 1
turkey 1
vampire 2
wannabe 1
while 1
who 2
woman 1
work 1
works 1
writer 1
young 1
