188957
/m/019vt7
/m/019vt7
Aleksandr Pushkin

1820s 1
a 13
about 1
abroad 1
accepts 1
admits 1
advances 1
affection 1
after 1
afterwards 1
again 1
aged 1
all 1
also 1
an 1
and 19
apparently 1
are 1
arrives 1
as 1
at 1
attempts 1
attend 1
attention 1
attracted 1
avenge 1
away 1
back 1
ball 1
balls 3
bares 1
beautiful 1
becomes 2
begins 1
boisterous 1
books 1
bored 1
but 4
by 2
captures 1
catches 1
celebration 1
central 1
challenges 1
character 1
collage 1
come 2
compelled 1
concerts 1
condescendingly 1
consists 1
contrary 1
contrast 1
convention 1
core 1
country 3
dancing 1
dandy 1
day 3
deaden 1
decides 1
declares 1
despite 1
determination 1
different 1
dine 1
dismissively 1
does 1
drawn 1
duel 2
during 1
earnest 1
estate 2
eugene 1
eventually 1
exact 1
expectations 1
fact 2
faithful 1
family 1
famous 1
feeling 1
feelings 1
fianc 1
fiance 1
fight 1
finds 1
flirting 1
for 1
friendship 1
from 1
gathering 1
glimpse 1
gossip 1
grown 1
guests 1
had 1
has 2
he 14
her 12
heroes 1
him 3
himself 1
his 8
however 1
husband 1
if 1
in 5
inexperienced 1
inherits 1
insensitive 1
instead 1
intensely 1
interact 1
invites 1
irritated 1
is 11
it 1
just 1
kills 1
landed 1
larina 1
later 1
leaders 1
lensky 6
letter 1
letters 1
life 1
literary 1
looks 1
love 3
loves 1
manages 1
mansion 1
margins 1
married 2
meet 1
meeting 1
merely 1
mischievously 1
more 1
moscow 1
most 2
moves 1
name 1
named 1
neighbor 1
no 2
not 1
notes 1
nothing 1
now 1
obsessed 1
of 11
often 1
old 1
olga 5
once 1
one 2
onegin 18
opportunity 1
opposite 1
parents 1
parody 1
parties 1
pass 1
past 1
person 1
persuading 1
petersburg 2
poet 1
politely 1
precocious 1
presents 1
prince 1
professing 1
prominent 1
promising 1
question 1
quiet 1
quits 1
rather 1
real 1
realizes 1
rebuffed 1
receives 1
referred 1
rejects 1
reluctantly 1
remain 1
remorse 1
renew 1
reply 1
romantic 1
rural 1
russian 1
same 1
scene 1
see 1
seeing 1
sees 1
sermon 1
several 2
she 5
shifts 1
sister 2
small 1
sociable 1
social 1
society 3
soon 1
soul 1
speech 1
st 2
starryeyed 1
still 1
strikes 1
takes 1
tatyana 10
that 3
the 17
their 1
there 1
they 1
this 2
thoughtless 1
through 1
tired 1
to 25
traveling 1
turned 1
uncle 1
unwillingly 1
up 1
upon 1
visits 1
vladimir 1
when 3
where 1
whether 1
whirl 1
who 2
whose 2
winning 1
with 8
woman 1
wounded 1
write 1
writes 1
years 1
young 1
