16814004
/m/04075th
/m/04075th
Victor Appleton
1913
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 3
active 1
airships 1
alec 2
an 2
and 1
any 1
at 1
barton 1
been 1
between 1
bigger 1
built 1
but 2
canal 1
cannon 1
construction 1
conversation 1
convince 1
cuts 1
date 1
discussion 1
expedition 2
finance 2
flying 1
for 1
friend 1
gets 1
government 1
grateful 1
has 1
hidden 1
himself 1
his 2
hopes 1
in 4
invention 2
is 5
life 1
lines 1
locate 1
meanwhile 1
middle 1
mine 1
mr 4
next 1
of 3
old 1
one 1
opal 1
opens 1
panama 1
peterson 3
power 1
protecting 1
reluctant 1
saving 1
segues 1
sell 1
so 1
states 1
still 1
story 3
swift 3
tangled 1
than 1
that 2
the 11
time 1
to 9
tom 6
trying 1
under 1
united 1
up 1
use 1
was 1
which 1
willing 1
wires 1
with 1
