1388208
/m/04yl9j
/m/04yl9j
Barbara Kingsolver
1988
{"/m/014dsx": "Travel", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
1 1
a 41
abandoned 1
about 4
above 1
absence 1
abused 2
adoption 1
advisor 1
after 3
aliens 2
always 1
an 1
and 44
angel 4
ann 7
anns 1
another 2
approaches 2
are 4
arizona 1
armistead 1
around 1
as 7
asking 1
at 6
attack 1
attacker 1
attempts 1
authorities 1
authority 1
avoiding 1
away 1
baby 8
babysitter 1
back 5
baptize 1
bar 1
bathing 1
be 3
bean 1
beauty 1
because 3
become 1
becomes 1
been 3
before 1
begins 1
behind 1
belong 1
bewildered 1
biological 2
birth 1
blind 1
blow 1
book 1
born 1
both 1
breaks 1
brings 1
bug 1
burger 1
but 6
buy 1
by 2
call 1
calls 1
can 1
cane 1
car 4
changed 1
cherokee 1
cherokees 1
child 2
childs 1
choosing 1
church 1
claim 1
come 4
comes 2
comforts 1
concocts 1
consent 1
consideration 1
conveys 1
convince 1
coping 1
couch 1
country 1
couple 2
crackdown 1
current 1
daughter 3
day 3
days 1
death 1
decide 1
decides 2
depressed 1
derby 1
desert 1
did 1
different 1
difficulties 1
direction 1
disability 1
discovers 1
divulging 1
do 1
doctor 1
does 4
down 2
drain 1
drives 1
drop 1
during 1
dwayne 2
edna 5
ends 1
enough 1
escape 1
esperanza 13
esperanzas 1
estevan 13
eventually 1
evident 1
explanation 1
eyes 1
factory 1
falling 1
fast 1
felt 1
few 1
find 2
finds 4
first 2
five 1
flawed 1
fled 1
for 7
force 1
forced 1
forcing 1
fork 1
friend 1
friends 2
friendship 1
from 3
front 1
further 1
gather 1
get 2
gets 1
getting 3
girl 2
give 1
gives 2
giving 1
go 4
goes 2
good 1
goodbye 1
government 1
graduation 1
grandmother 1
granny 2
grasp 1
grieving 1
growth 1
guatemala 2
had 2
has 9
he 5
head 1
heard 1
hears 1
hem 1
her 23
herself 2
high 1
him 5
his 1
hit 1
home 5
hospital 1
hotel 2
how 1
hurt 1
husband 2
if 2
illegal 4
immigrants 1
immigration 1
in 25
include 1
indicates 1
instead 1
into 3
investigation 1
is 12
ismene 1
issues 1
it 4
january 1
jesus 2
job 6
journey 1
judicial 1
kentuckian 1
kentucky 2
kind 1
known 2
lake 1
later 2
law 1
laws 1
leave 2
leaves 1
leaving 1
left 2
legal 4
let 1
letter 1
life 4
like 1
listed 1
live 3
lives 1
living 2
logan 2
look 3
looked 1
lord 2
loss 1
lou 8
love 1
make 3
married 1
matters 1
mattie 5
matties 3
meanings 1
meanwhile 1
meets 2
members 1
met 1
middle 1
mockery 1
molested 1
money 1
montana 1
month 1
months 1
more 1
mother 3
motherhood 1
moves 1
mr 1
much 2
multiple 1
name 1
named 2
names 2
narrative 1
nation 1
natural 1
new 4
news 1
night 2
no 5
not 5
notice 1
now 1
o 1
objects 1
of 29
off 2
offer 1
office 1
oklahoma 7
old 1
on 9
once 2
one 2
opens 1
option 1
or 3
other 1
out 2
own 1
owner 1
owners 1
package 1
paper 1
parents 2
park 1
past 1
people 2
place 2
plan 1
plymouth 1
police 1
poppy 1
pours 1
pregnancy 1
presents 1
pretend 1
prospect 1
prowler 1
puts 1
quits 1
rain 1
ray 2
ready 1
real 1
realizes 2
received 1
recent 1
recognized 1
refuses 1
relatives 1
rent 1
resembles 1
restaurant 1
returns 2
reveals 1
right 1
river 1
room 3
ruiz 1
rural 1
safety 1
salsa 1
same 2
sanctuary 1
save 1
saving 1
saw 1
says 1
scared 1
school 1
seat 1
see 4
seem 1
sends 1
seven 1
seventeen 1
sexually 1
shared 1
she 24
shop 1
should 1
signs 1
simply 1
sister 1
sits 1
six 1
size 1
skirt 1
smalltown 1
so 3
sobs 1
social 1
some 2
son 1
soon 1
sooner 1
speaking 1
spends 1
start 1
started 1
state 1
stopped 1
story 4
strategies 1
strength 1
struggling 1
stunted 1
suggests 1
suicide 1
summer 1
supporting 1
switches 1
swung 1
symbolic 1
system 1
take 3
takes 4
taylor 30
taylors 3
tearful 1
tears 1
tell 4
telling 1
tells 3
tendency 1
than 1
that 16
the 67
their 5
them 3
themes 1
then 2
there 5
they 3
things 1
this 1
those 1
threeyearold 1
time 1
tire 1
tires 4
to 50
took 1
toward 1
transport 1
trauma 1
trees 1
try 1
trying 1
tucson 6
tug 1
tugging 1
turns 1
turtle 19
turtles 5
two 3
underlying 1
union 1
up 4
used 3
vacuous 1
visit 1
volkswagen 1
want 1
wanted 1
ward 1
was 3
water 2
way 3
weeks 1
west 1
what 1
when 5
where 2
which 1
while 2
who 2
will 5
wise 1
with 11
without 1
woman 4
women 1
work 1
worker 1
working 3
world 1
worried 1
worse 1
years 1
