2595065
/m/07qhg_
/m/07qhg_
Rob Grant
2000-11-02
0 1
20 1
50 1
a 18
ability 2
able 1
about 1
accompanied 1
actually 1
affect 1
after 2
all 4
alleged 1
already 1
also 4
amount 1
an 5
and 16
another 1
any 1
anyone 1
apocalypse 1
appear 1
are 7
arm 1
arrive 1
as 9
assailant 1
assassin 2
assault 1
at 2
attempts 1
available 1
back 4
be 2
because 1
become 1
becoming 1
been 4
before 2
beginning 1
best 1
better 1
board 2
body 1
born 1
but 10
by 6
called 1
came 1
can 2
cannot 1
capable 1
captain 1
casino 4
cause 1
caused 2
causes 1
centuriesold 1
chance 2
charles 1
closing 1
collision 1
colonize 1
column 1
community 1
computer 2
contract 1
course 1
covered 1
created 1
crew 8
current 1
cybernetic 1
cyborg 1
damage 1
debt 1
debts 1
decides 3
decisions 1
deep 1
departure 1
destroying 1
discovers 2
do 1
docking 2
does 1
doesnt 1
doing 1
dollars 1
done 1
down 1
drawn 1
driven 1
due 4
earlier 1
earth 2
eddie 12
eddy 3
electronics 1
else 1
encounters 1
endings 1
enforced 1
engines 2
enough 1
enter 1
erase 1
escape 2
even 4
events 1
eventually 1
example 1
expected 1
explores 1
explosion 1
extinct 1
fact 2
fails 2
family 1
far 1
fascist 1
father 1
fears 1
find 1
finds 1
flashback 1
flies 1
foot 1
for 7
force 2
forced 1
forever 1
form 2
forward 1
from 1
fulfilling 1
full 1
further 1
future 1
gained 1
gamble 1
gambling 2
gas 1
generations 1
get 1
getting 1
giant 1
global 1
go 3
going 1
gone 1
gordon 5
green 1
habitable 1
had 4
happening 3
happens 1
has 14
have 3
having 1
he 27
head 1
help 1
hide 1
him 9
himself 4
hired 2
his 12
hitmen 1
hope 3
horror 1
hostile 1
house 1
however 2
human 2
humanity 1
idiots 1
if 1
illiterate 2
imminent 2
importantly 1
impostor 1
in 9
incorrectly 1
inherited 1
insane 1
instigated 1
instigating 1
intelligent 1
intended 1
intent 1
internal 1
into 2
is 24
it 11
its 4
itself 2
jar 1
job 2
jobs 2
join 1
journey 1
jumps 1
kill 1
killed 2
kills 1
land 1
last 1
late 1
learn 1
least 1
leave 3
leaves 1
left 3
less 1
lewis 1
life 3
like 1
little 1
location 1
longer 1
look 1
looks 1
lost 1
low 1
luck 1
mad 1
made 1
madness 1
man 6
manoeuvring 1
massive 1
may 1
meet 1
meets 2
members 2
memory 1
mentally 1
million 1
mimicking 1
minds 1
mission 1
money 6
moral 1
more 2
most 2
move 1
moves 1
murdered 1
mysteriously 1
needs 1
nerve 1
no 2
none 1
not 6
novel 1
now 1
nuclear 1
number 1
of 26
off 2
offers 1
ohare 1
old 1
on 14
once 1
one 2
ones 1
online 1
only 7
operational 1
or 1
orbit 1
original 3
other 2
out 4
outside 1
over 1
overriding 1
paired 1
panties 1
past 1
pay 1
penis 1
people 1
perform 1
perry 1
person 2
physical 1
piggybacked 1
pinksocked 1
place 2
planet 3
planets 1
planner 1
plans 2
pod 3
population 1
powered 1
priest 2
process 2
project 1
prostitutes 1
prostitution 1
protagonist 1
puzzled 1
race 1
radar 1
ramifications 1
reads 1
realises 1
realizing 1
rebuild 1
refuse 1
remaining 2
repairs 1
replacing 1
rest 1
retarded 1
reveals 1
revival 1
revived 1
right 1
same 1
see 1
selected 1
selfaware 1
selfdestruct 1
selfesteem 1
selfmodification 1
selfrepair 2
sell 1
sending 1
sent 1
series 1
sets 1
several 2
sheer 1
ship 20
shortly 1
shown 1
simulate 1
slightest 1
slime 1
small 1
smuggles 1
so 7
society 1
some 1
something 1
soon 1
spaceship 1
spinal 1
spreading 1
staff 1
starts 1
steal 1
steals 1
still 1
stolen 1
stop 1
story 2
successfully 1
such 3
sufficiently 1
suit 1
survival 1
survive 1
system 5
systems 1
take 2
takes 1
talks 1
target 1
than 1
thanks 2
that 15
the 92
their 1
them 1
then 4
there 1
they 2
this 2
three 1
through 1
thrrrppp 3
thrusters 1
time 2
to 46
too 1
took 1
totalitarian 1
totally 2
towards 1
town 1
transpires 1
trapped 1
travel 1
trying 1
turns 1
unaware 1
uncannily 1
unknown 3
unpleasant 1
up 1
vast 1
volcanoes 1
want 1
warming 1
was 4
way 2
were 1
what 4
when 3
where 2
which 8
whilst 1
who 2
whose 1
will 2
willflower 4
wins 1
wired 1
with 6
won 1
working 1
world 1
worse 1
would 1
wrong 1
