2192851
/m/06tw6m
/m/06tw6m
Naguib Mahfouz
1961
a 4
against 1
also 1
and 5
anger 1
any 1
around 1
at 1
becomes 1
being 1
betrayals 1
betrayed 1
businessman 1
but 1
by 1
cafowner 1
calculation 1
cannot 1
central 1
changed 1
closing 1
confusion 1
criminal 1
daughter 1
even 1
ever 1
flailing 1
former 2
friend 1
from 1
has 1
hasnt 1
help 1
him 3
his 6
ilish 1
ilwan 1
in 5
initial 1
into 1
is 3
journalist 1
large 1
love 1
mahran 1
making 1
marrying 1
mentor 1
more 1
nabawiyya 1
now 2
nur 1
of 1
on 1
once 1
onetime 1
only 1
opposition 1
outlook 1
perceived 1
prostitute 1
protagonist 1
provide 1
rauf 1
respected 1
respite 1
revenge 1
revolutionist 1
revolves 1
rhetoric 1
said 4
same 1
sana 1
seeming 1
she 1
tarzan 1
the 7
these 1
they 1
throw 1
time 1
to 2
used 1
utmost 1
which 1
who 1
whole 1
whose 1
wife 1
wild 1
with 2
world 3
yet 1
