8891528
/m/027njsx
/m/027njsx
Robert Muchamore
2005-10-13
0000 1
17 1
a 16
about 1
after 2
alan 1
alive 1
almost 1
also 1
altercation 1
an 2
and 15
andy 1
anger 1
are 4
area 1
arrested 3
as 3
assaults 1
at 2
away 1
back 2
be 2
beating 1
being 2
black 1
blanking 1
body 1
building 1
but 1
by 1
called 2
campus 1
can 1
capture 1
car 1
casino 3
cd 1
chang 1
cherub 1
clarke 1
cleaning 1
coming 1
computer 1
contained 1
controller 1
could 1
counselor 1
cousin 1
dave 5
days 1
death 1
deliberately 1
destroyed 1
do 1
dumped 1
during 1
earlier 2
enough 1
equipment 1
every 1
evidence 3
falco 2
feels 1
fell 1
few 1
figure 1
find 2
finds 2
first 1
flat 1
floor 1
for 11
friends 3
from 4
gambling 1
garage 2
get 2
gets 5
girlfriend 2
gives 1
golden 1
goons 1
had 5
hannah 3
has 1
have 1
having 1
he 5
help 1
her 1
him 8
himself 1
his 6
holiday 1
home 1
how 1
if 2
ignoring 1
illegal 1
immunity 1
in 4
including 1
information 1
into 1
investigate 2
is 6
it 2
james 12
job 1
john 1
join 1
jones 1
keeper 1
kerry 4
killed 1
knows 1
lagan 1
later 2
lauren 1
leaves 1
leon 2
london 1
looking 2
lowrisk 1
management 1
michael 4
mission 4
missions 1
money 1
months 1
more 3
murder 1
night 2
no 2
of 7
off 1
officer 1
old 2
on 1
one 1
out 4
over 1
patel 5
placed 1
police 3
policeman 1
preparation 1
prosecution 1
punished 1
punishment 1
realises 1
reconciles 1
redshirt 1
retired 1
return 2
returns 1
reveals 1
robbed 1
robbery 2
room 1
rooms 1
run 1
runs 1
second 1
section 1
see 1
sees 1
sent 1
sessions 1
shakeel 1
she 3
shirt 1
small 1
so 2
some 1
sorry 1
south 1
special 1
spend 1
statements 2
still 1
sun 1
supposedly 1
suspect 1
suspension 1
takes 1
tarasov 2
team 1
tell 1
tells 1
temper 1
than 1
that 8
the 17
theft 1
their 2
then 1
there 1
they 6
this 1
three 1
time 2
to 11
too 1
top 1
totaled 1
touched 1
two 1
up 1
was 2
what 2
when 1
which 2
who 2
will 6
with 7
witnesses 1
working 1
would 1
year 3
zara 1
