28559500
/m/0czdmpc
/m/0czdmpc
James Clancy Phelan
2006-08
{"/m/017rf8": "Techno-thriller"}
3 1
a 2
after 2
alister 1
an 1
and 1
australian 1
being 1
best 1
capsual 1
christmas 2
clearance 1
could 1
discharged 1
discover 1
discovered 1
dishonorably 1
diver 1
diving 1
do 1
east 1
forces 1
former 2
fox 2
friend 1
gammaldi 1
gone 1
have 1
in 2
is 2
island 2
know 1
lachlan 1
little 1
living 1
mission 1
navy 2
of 1
off 1
on 1
outbreak 1
pilot 1
result 1
royal 1
something 1
special 1
that 1
the 1
they 2
timor 1
unusual 1
war 1
when 1
whilst 1
who 1
world 1
wrong 1
