28569463
/m/0czdv09
/m/0czdv09
James Patterson
2010-07-26
{"/m/06n90": "Science Fiction"}
a 2
ages 2
alien 1
also 1
always 1
and 3
are 1
arrival 1
at 1
back 1
backthrough 1
before 1
best 1
but 1
criminal 1
daniel 3
dark 2
death 1
demon 1
during 1
each 1
earth 1
eliminate 1
event 1
ever 1
every 1
extraordinary 1
face 1
fire 2
form 1
friend 1
friends 1
getting 1
grave 1
he 1
his 5
hole 1
hunt 1
in 4
intergalactic 1
is 3
it 1
kryptonite 1
lifethe 1
like 1
list 1
meets 1
more 1
most 1
never 1
new 1
number 1
of 5
on 2
only 1
outlaws 1
parents 1
peril 1
personal 1
powers 1
raging 1
relentless 1
save 1
soulpossessing 1
stake 1
struggles 1
takes 1
than 1
the 8
them 1
this 1
three 1
time 1
timeto 1
to 4
transports 1
traumatic 1
travel 1
way 1
with 1
x 1
