16569570
/m/03yb_cs
/m/03yb_cs
Yaky Yosha
2008-03
4 1
a 6
absalom 1
after 1
agent 1
alcoholic 1
alley 1
also 1
am 1
an 3
and 8
arab 2
are 1
arms 1
as 2
at 2
attack 1
beautiful 1
both 1
brothers 1
cannot 1
casino 1
characters 1
compassion 1
compensate 1
condemns 1
cruelty 1
darken 1
dawn 1
debts 1
discovers 1
dug 1
elite 1
eluding 1
entangled 1
ex 2
family 1
father 1
find 3
follow 1
for 5
forces 1
former 1
formerlylike 1
fortune 1
from 3
gambling 1
goons 1
has 1
having 1
he 4
heart 1
him 3
himself 1
his 5
immigrant 1
in 6
inappropriate 1
individual 1
innocent 1
into 1
involved 1
is 3
israeli 1
killing 1
later 1
laura 1
lebanon 1
losing 1
loves 1
lying 1
mafia 1
married 1
mickey 6
mistress 1
most 1
narrative 1
night 1
now 1
of 2
officer 1
olga 1
out 3
pit 1
place 1
presently 1
prevent 1
promising 1
prostitute 1
rainy 1
recovers 1
released 1
russian 1
security 1
services 1
severe 1
shabak 2
shamefully 1
sinking 1
six 1
son 1
sparing 1
special 1
spent 1
storya 1
struggles 1
takes 1
telaviv 1
terrorist 1
that 6
the 7
this 1
to 2
transgressions 1
unit 1
unjustified 1
vivacious 1
war 1
was 1
watch 1
we 5
while 2
with 1
young 2
