24611681
/m/0807ssp
/m/0807ssp
Jerry Spinelli
1991
{"/m/03mfnf": "Young adult literature"}
a 6
about 1
across 1
all 1
and 6
are 5
as 1
at 2
beaten 1
because 1
begins 1
best 1
boy 1
brandnew 1
brimlow 1
brownmiller 1
bus 1
but 1
change 1
charles 1
child 2
children 1
day 2
dennis 1
depression 1
each 1
eddie 2
eg 1
enjoys 1
even 1
famous 1
find 1
finds 1
first 2
fit 2
four 1
friends 1
from 1
gets 2
girl 1
going 1
graders 1
hair 1
hard 1
has 1
he 1
her 2
hillary 3
his 1
in 1
into 2
inventor 1
is 3
johnson 1
kain 1
live 1
loves 1
meet 1
middle 3
morning 1
mott 1
never 1
not 2
on 2
other 2
out 1
perfect 1
pickles 1
plumstead 1
principal 1
salem 1
same 1
school 4
schools 1
sent 1
separate 1
she 2
shirt 1
sixth 1
sixthgrade 1
smile 1
somehow 2
still 1
stories 1
story 1
street 1
sunny 3
t 1
the 7
there 1
they 4
this 1
three 1
thrown 1
time 1
to 5
tries 1
until 1
up 1
vows 1
wash 1
way 1
when 1
who 3
with 1
write 1
writing 1
wyler 1
yet 1
