438653
/m/028lcq
/m/028lcq
Herman Melville

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0l67h": "Novella"}
177 1
2 1
30 1
31 1
a 9
aboard 3
about 2
accidentally 2
accuses 1
act 1
action 1
acts 1
adult 1
after 2
against 1
ambiguity 1
ambitions 1
amiss 1
an 8
and 17
angel 2
another 1
antagonism 1
antecedents 1
any 1
appearance 1
are 3
argue 1
argument 1
arouses 1
article 1
articles 1
as 5
athe 1
atheist 1
attack 1
authority 1
ballad 1
be 2
before 1
belief 1
bellipotent 3
billy 14
birth 2
bless 1
book 1
brings 1
british 2
budd 6
but 1
by 6
cabin 1
captain 4
chapter 3
chapters 2
character 1
charges 2
charisma 1
cheaply 1
claggart 9
claims 1
closes 1
concludes 1
condemned 1
confronted 1
conspiracy 1
conspiring 1
convenes 1
convening 1
convicting 1
convicts 1
could 1
counsel 1
courtmartial 3
crew 2
crime 1
dead 1
death 2
defense 1
deliberations 1
described 1
describes 1
despite 1
discipline 1
down 1
drumhead 1
during 1
echo 1
edward 1
elegy 1
enforce 1
enforcing 1
enlisted 1
except 1
executed 1
execution 1
experienced 1
extract 1
facts 3
failure 1
fairfax 1
falsely 1
fates 1
find 1
fleet 1
following 3
follows 1
for 3
foreign 2
former 1
french 2
from 4
gathered 1
gazette 3
give 1
god 2
goodby 1
hang 2
hanged 1
has 2
he 7
him 2
his 9
hms 3
hon 1
illegitimate 1
impediment 1
impressed 2
in 9
innocence 1
innocent 1
intervenes 1
into 2
is 5
it 1
john 3
justice 1
killing 1
kills 2
last 1
law 3
learned 1
letter 1
likely 1
little 1
loyally 1
major 1
makes 2
man 3
masteratarms 2
matters 1
meeting 1
military 1
moments 1
more 1
morning 1
mortally 1
moves 1
must 2
mutineer 2
mutinies 1
mutiny 3
mysterious 1
named 1
natural 1
naval 2
navy 1
not 3
nothing 1
novel 1
of 13
off 1
offered 1
officer 1
officers 2
official 1
old 1
on 1
one 1
openness 1
opinion 1
or 1
orphan 1
other 1
own 1
paine 1
panel 1
plot 1
poem 1
popular 1
portrayed 1
preceding 1
present 1
presents 1
printed 1
private 1
prosecutor 1
purporting 1
reader 1
reasons 1
reeling 1
repeated 1
reports 1
represented 1
reprints 1
republic 1
resonant 1
respond 1
revolutionary 1
rights 1
rightsofman 1
royal 1
says 2
seaman 1
service 1
ship 4
shipmates 1
shouts 1
sole 1
speech 1
stabs 1
starry 1
states 1
stir 1
story 1
strikes 1
struck 1
subversive 1
suggest 1
summons 1
sympathetic 1
talking 2
that 8
the 46
their 2
them 1
thomas 1
threatened 1
three 1
throughout 1
to 10
too 1
turn 1
two 1
unable 1
unexplained 1
upside 1
used 1
vere 10
war 1
wartime 1
was 3
we 2
weakness 1
weapon 1
were 1
when 3
who 2
with 2
witness 1
words 2
wounded 1
written 1
year 1
yet 1
you 1
youth 1
