61181
/m/0glsq
/m/0glsq
Samuel Butler
1903
{"/m/012jgz": "Autobiographical novel"}
28 1
a 18
agreement 1
aim 1
alcoholic 1
alethea 2
among 1
an 4
and 16
annoy 1
antagonistic 1
are 1
as 5
assault 2
at 2
attempts 1
aunt 2
author 2
aware 1
be 1
become 2
becomes 3
before 2
beginnings 1
believed 1
between 1
bible 1
bigamist 1
both 1
boy 1
bumpy 1
but 2
by 5
can 2
carpenter 1
central 1
centuries 1
character 2
children 1
christian 2
christina 2
church 3
clergyman 4
clothing 1
continental 1
controversial 1
controversies 1
conversation 1
counteracting 1
course 2
damaged 1
daughter 1
death 1
decides 2
depicts 1
deteriorates 1
develops 1
die 1
dies 1
discovers 1
disown 1
divisions 1
domineering 1
doubt 1
due 2
duped 1
early 1
easily 1
eighteenth 1
eldest 1
ellen 3
emergence 1
end 1
england 2
era 1
ernest 7
europe 1
evangelical 1
faith 2
falls 1
family 2
father 2
fellow 1
finds 1
first 1
for 1
former 1
fortune 1
from 1
fulfill 1
generations 1
george 2
gift 1
gives 1
godfather 1
had 1
have 1
he 16
health 1
her 2
high 1
him 4
his 14
home 1
hoping 1
housemaid 1
how 1
however 2
hypocritical 1
in 10
incorrectly 1
industry 1
influence 2
influenced 1
integrity 1
intervenes 1
into 3
is 10
it 1
its 1
job 1
john 1
keeping 1
late 1
leads 1
learns 1
literature 1
live 1
loose 1
loses 1
lures 1
main 1
make 1
malign 1
man 1
manipulated 1
marries 1
marrying 1
minister 1
money 1
morals 1
much 1
narrated 1
nineteenth 1
novel 1
of 17
off 1
on 3
once 2
one 1
order 1
others 1
out 3
over 1
overton 3
own 2
parents 5
passes 1
pays 1
point 1
pontifex 3
poor 2
position 1
poverty 1
pressed 1
pressures 1
previous 1
prison 2
profession 1
publisher 1
purposefully 1
receive 1
receives 1
recovers 1
redeem 1
reduced 1
reflecting 1
regenerate 1
relationship 2
results 1
returns 1
rises 1
road 1
second 1
secondhand 1
secretly 1
set 1
severely 1
sexual 1
she 2
shop 1
shortly 1
small 2
son 3
soon 1
starts 1
stature 1
story 1
tailor 1
takes 2
term 1
that 5
the 29
then 1
theobald 4
theological 2
they 1
this 4
though 1
to 15
together 1
trace 1
travels 1
trip 1
twentyeight 1
two 1
under 1
university 1
until 1
up 1
victorian 1
wanes 1
was 2
way 1
ways 1
with 2
woman 1
world 1
young 1
