451824
/m/02b5xb
/m/02b5xb
Doris Lessing
1988
160s 1
a 6
all 1
and 6
at 1
becomes 2
beginning 1
both 3
boys 1
brings 1
but 1
by 1
center 1
child 3
children 2
come 1
conservative 1
couple 1
david 1
dedas 1
estate 1
fall 1
family 2
fifth 2
fnfte 1
for 2
four 1
friends 1
frowned 1
function 1
girls 1
harriet 2
have 1
having 1
her 1
house 1
immediately 1
immoral 1
in 3
intend 1
is 1
joy 1
kind 1
large 1
london 2
lovatt 1
love 1
many 1
marks 1
marry 1
meets 1
misery 1
not 1
of 5
on 1
only 1
outlooks 1
outside 1
pregnancy 1
pregnant 1
ptthe 1
purchase 1
rarity 1
relatives 1
rest 1
same 1
share 1
small 1
sr 1
suffering 1
that 2
the 11
their 3
them 1
they 2
this 1
to 1
two 4
until 1
upon 1
village 1
visit 1
when 1
who 1
wish 1
with 1
work 1
