2397321
/m/0796v0
/m/0796v0
Carl Hiaasen
1997
2 1
a 5
able 1
after 1
aided 1
also 2
animals 1
another 1
appear 1
around 1
at 1
attraction 1
based 1
becomes 1
before 1
being 1
believe 1
bizarre 1
block 1
book 2
but 1
by 3
cassadaga 1
character 1
comment 1
community 2
conspiracy 1
deserves 1
developed 1
do 1
dont 1
drills 1
efforts 1
empty 1
fictional 1
florida 1
from 1
grange 1
groups 1
has 1
have 1
he 1
her 1
hers 1
his 1
hold 1
holes 1
in 4
intends 1
into 1
is 3
it 3
jesus 1
land 1
look 1
lottery 1
lucks 2
make 1
mall 1
militia 1
miracles 1
newspaper 1
of 3
on 1
one 1
onto 1
other 1
out 1
palms 1
paranoid 1
parodies 1
preventing 1
proclaim 1
protect 1
purchase 1
real 1
recover 1
religious 1
reporter 1
revolves 1
roadstain 1
satiric 1
section 1
she 1
somewhat 1
stigmata 1
stolen 1
story 1
supremacist 1
takes 1
that 3
the 12
then 1
theories 1
there 1
think 1
this 1
thugs 1
ticket 3
to 7
tourist 1
two 1
use 1
various 1
vendors 1
which 1
white 1
who 3
winning 1
winnings 1
woman 1
worships 1
years 1
