14782140
/m/03gxvb8
/m/03gxvb8
Kate Mosse
2008-04
181 2
a 8
about 2
action 1
affair 1
also 2
american 1
an 5
anatole 2
and 11
appearances 1
are 5
as 4
at 1
been 2
being 1
biography 1
biological 1
book 1
brother 2
brought 1
by 3
cade 2
cameo 1
carcassonne 4
carrying 1
characters 1
church 1
city 1
claude 1
constant 2
country 1
day 1
de 2
debussy 1
deceased 1
discovers 2
domaine 2
during 2
events 1
exact 1
features 1
find 1
for 2
former 1
france 1
from 1
girl 1
grounds 1
has 1
have 1
he 1
heavy 1
her 6
his 2
history 1
home 1
hotel 1
house 1
however 1
idyllic 1
in 16
information 1
invitation 1
is 6
isolde 4
jealous 1
journey 1
jules 1
known 1
la 2
labyrinth 1
later 1
life 1
lifestyle 1
lineage 1
links 1
live 1
living 1
lonie 4
lover 1
major 1
make 1
marries 1
martin 1
meredith 3
more 1
mosse 1
most 1
mother 1
neighbouring 1
novel 1
occult 1
of 10
on 1
out 2
owned 1
paris 2
parts 1
period 1
place 1
present 1
prompts 1
pursued 1
readings 1
reference 1
region 1
related 1
renneslesbains 1
repurposed 1
research 1
revenge 1
same 1
sepulchre 2
series 1
sets 1
several 1
she 3
situated 1
small 1
stately 1
staying 1
stories 1
story 1
takes 1
tarot 2
that 5
the 21
there 1
they 2
time 1
timeline 1
to 8
together 1
towns 1
truth 1
trying 1
uncle 2
uncovers 1
unknown 1
until 1
upmarket 1
vernier 2
victor 1
villages 1
visions 1
visit 1
well 1
where 1
which 1
while 1
whom 1
widow 1
wife 1
with 1
writing 1
young 1
