27360780
/m/0bx_0s_
/m/0bx_0s_
Karen Traviss
2010-08-31
32 1
a 45
abandon 1
aboard 4
about 1
accepting 2
accepts 1
access 2
accordingly 1
act 1
actually 1
adam 1
adding 1
affected 1
after 5
aftermath 1
again 3
against 4
aground 1
aid 1
aided 1
air 2
alive 1
all 6
allow 2
allows 1
alone 1
along 1
also 4
although 1
ambush 1
amirale 1
ammunition 1
among 1
an 6
and 40
angry 1
another 2
antiaircraft 1
anvegad 1
anvil 9
any 4
anya 2
apparently 1
appear 2
are 13
area 1
armada 1
army 1
around 2
art 1
artillery 3
artworks 1
as 10
assist 1
at 12
attack 1
averted 1
back 1
backdoor 1
backup 1
badly 3
bai 2
baird 10
banding 1
barely 1
base 1
battle 1
be 2
bears 1
because 1
becoming 2
been 1
before 5
begin 1
begins 6
being 1
bereft 1
bernie 5
besiegers 1
between 3
bids 1
blisters 1
board 1
boat 1
book 1
both 1
bottom 1
boy 1
bridge 1
brought 1
bryne 1
building 1
built 1
burns 1
burrows 1
but 9
by 19
bypassing 1
cache 1
called 1
calls 3
captain 3
captured 1
catches 1
caught 1
causes 1
cave 2
chairman 4
charge 1
choked 1
citizens 4
civilians 1
clear 1
clearing 1
clearly 1
clears 1
clement 5
cliffs 1
close 2
closer 1
closes 1
co 1
codes 2
cog 27
cole 2
collapse 1
combined 1
comes 1
coming 1
commander 1
conclude 2
connection 1
contact 1
continues 1
control 1
convince 1
convinced 1
cooperate 1
could 1
country 3
craft 1
creature 1
creatures 1
crew 3
current 1
damage 1
damaging 2
data 1
dawn 1
days 1
deaths 1
decide 1
deciding 1
defend 1
defense 1
defenses 1
delta 4
demolish 1
desperate 1
destroy 1
destroyed 1
destruction 2
detect 1
disabled 1
disappeared 1
discovering 1
discovers 3
disease 1
disgorged 1
disks 3
distance 1
distrust 1
dizzy 1
do 1
does 2
dog 2
dom 2
doomed 1
down 3
drifting 1
drops 1
drought 1
due 2
during 1
earlier 1
eday 1
eddie 1
efforts 1
either 2
emerald 1
en 1
encryption 2
end 1
ending 1
engagement 1
engineers 1
enka 1
ensure 1
enter 1
escort 1
especially 1
evacuate 3
events 1
eventually 2
execute 1
exit 1
expedition 1
expending 1
explanation 1
explodes 3
explore 1
explosions 1
explosives 2
exterior 1
extracted 1
faces 1
factors 1
families 2
farewell 1
father 1
feigns 1
fellow 1
fenix 5
few 2
fight 1
fighting 2
fights 1
fills 1
finally 1
find 6
finds 1
fire 5
firefight 1
first 3
fishing 2
flashes 1
fleet 1
fling 1
fly 1
follows 1
food 1
foot 1
for 19
forced 8
forces 4
fort 1
fortifications 1
fortify 1
forward 1
fouryear 1
friends 1
frigate 4
from 5
front 1
fuel 1
further 1
garrison 1
gate 9
gear 1
gears 5
gets 1
gives 1
goes 2
gorasini 7
gorasoni 2
grounded 1
group 1
grouping 1
had 4
hammer 2
hands 1
happen 1
hard 1
harua 1
has 4
have 3
he 5
head 1
headed 1
helena 1
her 1
herder 1
hilly 1
him 6
himself 1
his 9
hit 1
hits 1
hoard 1
hoffman 12
horrified 1
how 1
however 2
hull 1
humans 4
hundred 1
hundreds 1
hunt 2
hunters 1
identifying 1
immediately 1
imulsion 1
imulsionrich 1
in 16
inactivity 1
incapable 1
incidents 1
incinerate 1
increasingly 1
incredibly 1
incursion 1
indicating 1
indie 1
inevitable 1
infantrymen 1
inland 1
inshore 1
inside 1
instead 2
insurgency 1
interrogate 1
interrogation 1
into 5
invade 1
invasion 1
investigating 1
is 28
island 3
issue 1
it 8
its 2
jacinto 5
join 1
joined 1
joining 1
just 1
kashkur 3
key 1
kill 2
killed 2
kind 1
king 6
knowing 1
knowledge 1
known 1
lambent 10
land 1
large 4
last 1
later 2
leading 1
leads 1
leave 5
leaves 2
leaving 1
levanto 1
leviathan 4
leviathans 2
lieutenant 3
lifting 1
like 1
living 1
local 3
looking 1
losing 1
lost 2
lured 2
mac 5
made 1
maintain 1
major 1
make 1
manages 3
many 2
marcus 2
marking 1
match 3
mauls 1
medal 1
men 2
michaelson 1
middle 2
minor 1
minus 1
missing 1
money 1
moral 1
more 2
mortars 1
motorbike 1
mountain 1
move 2
moves 1
moving 1
much 1
multiple 1
museum 2
must 1
mutates 1
named 1
native 1
navy 1
near 2
need 1
neutral 1
never 1
new 3
newlywed 1
night 1
no 2
noconfidence 1
not 6
novel 1
now 2
numerous 1
observer 1
obstacle 1
ocean 1
of 45
off 5
offer 3
office 1
oil 1
old 2
on 8
once 1
one 10
only 4
onto 1
opens 1
operating 1
or 2
order 2
orders 1
ostensibly 2
other 1
out 4
outbursts 1
own 1
pace 1
packhorse 1
pair 1
particular 1
pass 2
patrol 3
pelruan 1
pendulum 1
pesang 2
pesanga 1
place 1
plagued 1
plan 1
platform 8
point 1
polyps 7
population 2
posted 1
powerful 1
prepare 1
prescott 5
president 1
preventing 1
previous 1
prisoners 1
promises 1
promoted 2
protecting 1
provided 1
providing 1
province 1
purpose 1
quickly 2
raid 1
rapid 1
ration 1
rations 1
raven 7
realized 1
rear 1
receives 2
recent 1
recently 1
refugees 1
reinforcements 1
reinforces 1
reluctantly 1
remaining 1
remnant 1
reopen 1
repel 2
research 1
resilient 1
respective 1
rest 2
resupply 1
riot 1
route 2
routine 1
rpg 1
run 1
sabotaged 1
saboteurs 2
safety 1
sam 3
same 3
scarce 1
sea 2
search 2
searches 1
second 2
secret 1
seems 1
seriously 1
