6121634
/m/0fr6k1
/m/0fr6k1
Gary Shteyngart
2006-05-02
{"/m/05hgj": "Novel"}
a 8
absurdistan 3
absurdsvan 1
accidental 1
after 2
aka 1
all 1
along 1
also 1
an 1
and 3
appointed 1
as 2
asked 1
at 3
attended 1
attends 1
bar 1
bars 1
be 1
been 1
behalf 1
being 1
belgian 1
between 1
businessman 1
but 1
buy 1
by 2
caspian 1
civil 1
college 5
corrupt 1
cross 1
daddy 1
days 1
desperate 1
diplomat 1
dispute 1
divided 1
ensconced 1
entire 1
entry 1
ethnic 1
expense 1
exsoviet 1
fact 1
family 1
father 2
fellow 1
fictitious 1
finds 2
footrest 1
for 2
forced 1
from 4
funds 1
given 1
got 1
groups 1
has 1
hatred 1
he 5
his 3
hunter 1
in 6
ins 1
is 7
israel 1
it 1
itself 1
killed 1
kills 1
known 1
leader 2
league 1
leninsburg 1
love 2
major 1
met 1
midwestern 1
minister 1
misha 7
multiculturalism 1
mutual 1
name 1
native 1
new 1
norway 1
nostalgically 1
now 1
oberlin 1
occidental 1
of 5
oil 1
oklahoma 1
oligarch 1
on 2
opportunity 1
orthodox 1
over 1
passport 1
petersburg 1
petition 1
play 1
played 1
prominent 1
refers 1
republic 1
reputation 1
resembles 1
return 1
riches 1
rouenna 1
saint 1
sevo 2
she 1
should 1
shteyngart 1
sides 1
snack 1
somewhere 1
soon 3
st 1
states 1
stems 1
svan 2
take 1
the 14
tilted 1
title 1
titty 1
to 7
trapping 1
true 1
two 1
united 1
us 1
vainberg 1
war 1
was 1
way 1
which 3
while 2
who 2
whom 1
whose 1
with 1
working 1
